timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
2886384840,0,394804789,-766597243,98195,0,0.042999268,0.0,0.32249635,0.40745014,0.7998047,0.7998047,0,0,0.17643808,0.03165734,-0.12654397,-0.018358385,0.0,0,nan,nan,4,0,1,30,2
2886878008,0,394804788,-766597248,98178,0,0.049987793,0.0,0.32249635,0.40745014,0.7998047,0.7998047,0,0,0.15525557,-0.012225132,-0.012491627,0.044770822,0.0,0,nan,nan,4,0,1,30,2
2887382577,0,394804787,-766597245,98168,0,0.04800415,0.0,0.32249635,0.40864676,0.7998047,0.7998047,0,0,0.19707474,-0.0163286,0.13069923,0.06683916,0.0,0,nan,nan,4,0,1,30,2
2887876386,0,394804787,-766597235,98197,0,0.04800415,0.0,0.32249635,0.40864676,0.7998047,0.7998047,0,0,0.25576487,0.0008139813,0.21600337,-0.08873619,0.0,0,nan,nan,4,0,1,30,2
2888382927,0,394804789,-766597222,98234,0,0.045013428,0.0,0.32249635,0.4098399,0.7998047,0.7998047,0,0,0.27075994,0.06668127,0.24898244,-0.053374786,0.0,0,nan,nan,4,0,1,30,2
2888879663,0,394804796,-766597205,98272,0,0.039001465,0.0,0.32249635,0.4098399,0.7998047,0.7998047,0,0,0.31811726,0.14818093,0.2744734,-0.043430082,0.0,0,nan,nan,4,0,1,30,2
2889386469,0,394804803,-766597190,98308,0,0.042999268,0.0,0.32097873,0.4098399,0.7998047,0.7998047,0,0,0.25619808,0.18198709,0.17766777,-0.021878358,0.0,0,nan,nan,4,0,1,30,2
2889871844,0,394804811,-766597185,98322,0,0.04598999,0.0,0.32097873,0.4098399,0.7998047,0.7998047,0,0,0.17450352,0.1348876,-0.009980582,0.017584877,0.0,0,nan,nan,4,0,1,30,2
2890385698,0,394804815,-766597192,98331,0,0.041992188,0.0,0.32097873,0.4098399,0.7998047,0.7998047,0,0,0.2951916,0.025913455,-0.2850062,0.05802061,0.0,0,nan,nan,4,0,1,30,2
2890879713,0,394804813,-766597216,98330,0,0.044006348,0.0,0.32097873,0.4098399,0.7998047,0.7998047,0,0,0.5451709,-0.089910775,-0.53089285,-0.03983957,0.0,0,nan,nan,4,0,1,30,2
2891385555,0,394804807,-766597246,98345,0,0.040008545,0.0,0.32097873,0.40864676,0.7998047,0.7998047,0,0,0.51563305,-0.1614661,-0.4884636,0.033015072,0.0,0,nan,nan,4,0,1,30,2
2891878263,0,394804798,-766597272,98334,0,0.040985107,0.0,0.32097873,0.40864676,0.7998047,0.7998047,0,0,0.39296725,-0.1940476,-0.3400362,0.031626683,0.0,0,nan,nan,4,0,1,30,2
2892386565,0,394804793,-766597283,98297,0,0.045013428,0.0,0.32097873,0.40864676,0.7998047,0.7998047,0,0,0.1298019,-0.10526127,-0.062187806,0.04340818,0.0,0,nan,nan,4,0,1,30,2
2892877313,0,394804787,-766597282,98283,0,0.050994873,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.18421727,-0.1269828,0.09371512,0.09386234,0.0,0,nan,nan,4,0,1,30,2
2893386211,0,394804782,-766597270,98242,0,0.039001465,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.32317328,-0.13198014,0.28448513,0.07796026,0.0,0,nan,nan,4,0,1,30,2
2893879289,0,394804776,-766597253,98167,0,0.040008545,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.32863486,-0.122032486,0.28749213,0.09470377,0.0,0,nan,nan,4,0,1,30,2
2894378139,0,394804770,-766597240,98156,0,0.04800415,0.0,0.32249635,0.40864676,0.7998047,0.7998047,0,0,0.22042198,-0.12650241,0.17098944,-0.05700289,0.0,0,nan,nan,4,0,1,30,2
2894876132,0,394804766,-766597232,98153,0,0.040008545,0.0,0.32097873,0.40864676,0.7998047,0.7998047,0,0,0.13306671,-0.08428562,0.10107144,0.0072500333,0.0,0,nan,nan,4,0,1,30,2
2895384152,0,394804763,-766597228,98174,0,0.04699707,0.0,0.32097873,0.40864676,0.7998047,0.7998047,0,0,0.091471046,-0.056658622,0.060765516,-0.025246564,0.0,0,nan,nan,4,0,1,30,2
2895876556,0,394804763,-766597228,98180,0,0.04598999,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.043914143,0.04102262,-0.0054575927,-0.008056544,0.0,0,nan,nan,4,0,1,30,2
2896384883,0,394804767,-766597230,98196,0,0.04598999,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.13961768,0.1025665,-0.07149396,-0.06203628,0.0,0,nan,nan,4,0,1,30,2
2896877652,0,394804773,-766597233,98225,0,0.050994873,0.0,0.32097873,0.40745014,0.7998047,0.7998047,0,0,0.12867886,0.10227162,-0.03930453,-0.06639342,0.0,0,nan,nan,4,0,1,30,2
2897383475,0,394804777,-766597235,98240,0,0.045013428,0.0,0.32249635,0.40745014,0.7998047,0.7998047,0,0,0.07979457,0.07579913,-0.022351522,0.006799131,0.0,0,nan,nan,4,0,1,30,2
2897876182,0,394804781,-766597234,98237,0,0.052001953,0.0,0.32249635,0.4098399,0.7998047,0.7998047,0,0,0.07710773,0.072,0.011066952,0.006859677,0.0,0,nan,nan,4,0,1,30,2
2898385602,0,394804783,-766597232,98211,0,0.06896973,0.0,0.3240069,0.4098399,0.7998047,0.7998047,0,0,0.10600451,0.037308168,0.057025574,0.08064192,0.0,0,nan,nan,4,0,1,30,2
2898870919,0,394804789,-766597233,98222,0,0.042999268,0.0,0.3240069,0.4098399,0.7998047,0.7998047,0,0,0.30300882,0.19792923,-0.087210804,-0.015563418,0.0,0,nan,nan,4,0,1,30,2
2899384610,0,394804802,-766597238,98211,0,0.044006348,0.0,0.3240069,0.41102958,0.7998047,0.7998047,0,0,0.38627356,0.33882895,-0.10051318,-0.011497183,0.0,0,nan,nan,4,0,1,30,2
2899878207,0,394804818,-766597239,98198,0,0.040985107,0.0,0.3240069,0.4098399,0.7998047,0.7998047,0,0,0.3119897,0.2650708,0.071274675,0.030517701,0.0,0,nan,nan,4,0,1,30,2
2900385356,0,394804825,-766597228,98212,0,0.037994385,0.0,0.3240069,0.41102958,0.7998047,0.7998047,0,0,0.29603097,0.043135073,0.2722743,-0.038831536,0.0,0,nan,nan,4,0,1,30,2
2900879395,0,394804822,-766597210,98144,0,0.052001953,0.0,0.3240069,0.41236386,0.7998047,0.7998047,0,0,0.5393986,-0.20296252,0.26239586,0.39473572,0.0,0,nan,nan,4,0,1,30,2
2901384468,0,394804810,-766597202,97773,0,0.07598877,0.0,0.3240069,0.41354626,0.7998047,0.7998047,0,0,0.931557,-0.34796673,0.10156993,0.8493484,0.0,0,nan,nan,4,0,1,30,2
2901879483,0,394804792,-766597201,97443,0,0.065979004,0.0,0.3240069,0.4147253,0.7998047,0.7998047,0,0,0.78898746,-0.46183723,-0.056551296,0.6133702,0.0,0,nan,nan,4,0,1,30,2
2902386411,0,394804771,-766597210,97156,0,0.06896973,0.0,0.3240069,0.4147253,0.7998047,0.7998047,0,0,0.743529,-0.45012122,-0.1930559,0.55084497,0.0,0,nan,nan,4,0,1,30,2
2902878063,0,394804759,-766597231,96902,0,0.07897949,0.0,0.32560417,0.4147253,0.7998047,0.7998047,0,0,0.7001094,-0.22570115,-0.3884539,0.5211511,0.0,0,nan,nan,4,0,1,29,2
2903380071,0,394804755,-766597258,96620,0,0.083984375,0.0,0.32560417,0.4147253,0.7998047,0.7998047,0,0,0.6788863,0.04158045,-0.41846222,0.53021264,0.0,0,nan,nan,4,0,1,30,2
2903877362,0,394804759,-766597277,96330,0,0.09100342,0.0,0.32710034,0.4147253,0.7998047,0.7998047,0,0,0.6958741,0.13766225,-0.256,0.63076586,0.0,0,nan,nan,4,0,1,30,2
2904383263,0,394804771,-766597285,96122,0,0.050994873,0.0,0.32710034,0.41707337,0.7998047,0.7998047,0,0,0.30688542,0.30401263,-0.03947164,0.011540966,0.0,0,nan,nan,4,0,1,30,2
2904874560,0,394804787,-766597285,96011,0,0.065979004,0.0,0.32710034,0.41590098,0.8100586,0.8100586,0,0,0.4309259,0.3575023,0.109593965,0.21260773,0.0,0,nan,nan,4,0,1,29,2
2905383309,0,394804802,-766597279,95896,0,0.070007324,0.0,0.32710034,0.4147253,0.7998047,0.7998047,0,0,0.44469732,0.31721723,0.17938934,0.25479507,0.0,0,nan,nan,4,0,1,29,2
2905877170,0,394804812,-766597267,95801,0,0.06100464,0.0,0.32710034,0.41590098,0.7998047,0.7998047,0,0,0.33231908,0.1440611,0.2650255,0.13897964,0.0,0,nan,nan,4,0,1,29,2
2906382467,0,394804815,-766597253,95728,0,0.054992676,0.0,0.32710034,0.41590098,0.7998047,0.7998047,0,0,0.33076215,-0.023380145,0.2746645,0.17219508,0.0,0,nan,nan,4,0,1,30,2
2906875945,0,394804812,-766597241,95712,0,0.07299805,0.0,0.32710034,0.41590098,0.7998047,0.7998047,0,0,0.055426992,0.02506753,0.008475993,-0.047140762,0.0,0,nan,nan,4,0,1,30,2
2907383491,0,394804813,-766597240,95708,0,0.052001953,0.0,0.32710034,0.41707337,0.7998047,0.7998047,0,0,0.045614514,0.042597,0.0066185575,-0.010827552,0.0,0,nan,nan,4,0,1,30,2
2907871023,0,394804814,-766597238,95715,0,0.049987793,0.0,0.32710034,0.41590098,0.7998047,0.7998047,0,0,0.04170192,0.013046784,0.0133458655,-0.029261487,0.0,0,nan,nan,4,0,1,30,2
2908383014,0,394804815,-766597239,95718,0,0.052001953,0.0,0.32560417,0.4147253,0.7998047,0.7998047,0,0,0.022049012,0.0040221666,0.009730641,-0.012269362,0.0,0,nan,nan,4,0,1,30,2
2908876451,0,394804815,-766597239,95725,0,0.04800415,0.0,0.32560417,0.41354626,0.7998047,0.7998047,0,0,0.01572832,0.0012149242,-0.010371649,-0.010371649,0.0,0,nan,nan,4,0,1,30,2
2909382049,0,394804817,-766597239,95731,0,0.052001953,0.0,0.32560417,0.41354626,0.7998047,0.7998047,0,0,0.06711687,0.05386877,0.018134296,-0.03047507,0.0,0,nan,nan,4,0,1,30,2
2909877199,0,394804817,-766597238,95736,0,0.049987793,0.0,0.3240069,0.41354626,0.7998047,0.7998047,0,0,0.03545536,-0.028023854,-0.0033940903,-0.015161268,0.0,0,nan,nan,4,0,1,30,2
2910383941,0,394804818,-766597239,95741,0,0.06402588,0.0,0.3240069,0.41236386,0.7998047,0.7998047,0,0,0.023600256,0.009455976,0.009397278,-0.019221181,0.0,0,nan,nan,4,0,1,30,2
2910876215,0,394804820,-766597241,95743,0,0.04901123,0.0,0.3240069,0.41236386,0.7998047,0.7998047,0,0,0.031175535,0.024580274,-0.0037492942,0.0067577655,0.0,0,nan,nan,4,0,1,30,2
