timestamp,speed_up,speed_down,want_takeoff
2874890060,3.0,1.78816,1
2875904369,3.0,1.78816,1
2876905528,3.0,1.78816,1
2877893938,3.0,1.78816,0
2878908104,3.0,1.78816,0
2879909441,3.0,1.78816,0
2880906082,3.0,1.78816,0
2881893601,3.0,1.78816,0
2882888651,3.0,1.78816,0
2883906987,3.0,1.78816,0
2884884173,3.0,1.78816,0
2885907948,3.0,1.78816,0
2886909238,3.0,1.78816,0
2887892074,3.0,1.78816,0
2888890316,3.0,1.78816,0
2889908733,3.0,1.78816,0
2890884460,3.0,1.78816,0
2891908247,3.0,1.78816,0
2892909717,3.0,1.78816,0
2893890423,3.0,1.78816,0
2894888801,3.0,1.78816,0
2895904395,3.0,1.78816,0
2896907189,3.0,1.78816,0
2897908297,3.0,1.78816,0
2898886232,3.0,1.78816,0
2899909477,3.0,1.78816,0
2900904795,3.0,1.78816,0
2901889212,3.0,1.78816,0
2902905606,3.0,1.78816,0
2903905388,3.0,1.78816,0
2904908443,3.0,1.78816,0
2905893514,3.0,1.78816,0
2906909418,3.0,1.78816,0
2907910510,3.0,1.78816,0
2908905804,3.0,1.78816,0
2909889808,3.0,1.78816,0
2910904187,3.0,1.78816,0
