timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.disable_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.disable_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.disable_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5]
2898103008,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48047793665548,-76.65972344935918,0.0,0.0,0.0,98.23376,0.0,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898217059,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.480478017914336,-76.65972345990608,0.0,0.0,0.0,98.23332,0.30594358,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898262270,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48047815339299,-76.65972348416155,0.0,0.0,0.0,98.23332,0.30704066,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898456585,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48047934017293,-76.65972373484664,0.0,0.0,0.0,98.23332,0.31108382,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898659387,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48048080223304,-76.65972400174812,0.0,0.0,0.0,98.23332,0.3207511,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898864848,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48048188943491,-76.65972384701561,0.0,0.0,0.0,98.23332,0.3349606,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899066029,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.480483032480066,-76.65972324960184,0.0,0.0,0.0,98.23332,0.3449169,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899271434,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48048328512361,-76.65972254772092,0.0,0.0,0.0,98.23332,0.35227793,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899467520,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48048320814164,-76.65972221709347,0.0,0.0,0.0,98.23332,0.35511774,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899669560,2898102521,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898103004,39.48048294365487,-76.65972209534628,0.0,0.0,0.0,98.23332,0.3557488,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2898102998,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
