timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
2892413100,5.112744,3.3612304,3.3483398,3.3322265,3.3322265,15,0,3,0,1,0,0,255,255
2892911936,5.115967,3.3483398,3.345117,3.3290038,3.3402832,15,0,3,0,1,0,0,255,255
2893412096,5.117578,3.3467286,3.3483398,3.3338377,3.3338377,15,0,3,0,1,0,0,255,255
2893911861,5.082129,3.3563964,3.3306153,3.3354492,3.3402832,15,0,3,0,1,0,0,255,255
2894411855,5.103076,3.364453,3.3467286,3.3322265,3.3370605,15,0,3,0,1,0,0,255,255
2894912415,5.104687,3.3708985,3.345117,3.3322265,3.3322265,15,0,3,0,1,0,0,255,255
2895411856,5.0724607,3.3241699,3.345117,3.3322265,3.3370605,15,0,3,0,1,0,1,255,255
2895912019,5.1481934,3.325781,3.3483398,3.3322265,3.3306153,15,0,3,0,1,0,0,255,255
2896411865,5.091797,3.325781,3.349951,3.3322265,3.3338377,15,0,3,0,1,0,0,255,255
2896911856,5.0998535,3.369287,3.3467286,3.3322265,3.3338377,15,0,3,0,1,0,0,255,255
2897411862,5.136914,3.3596191,3.3467286,3.3322265,3.3306153,15,0,3,0,1,0,0,255,255
2897911855,5.1111326,3.325781,3.3483398,3.3322265,3.338672,15,0,3,0,1,0,0,255,255
2898411869,5.103076,3.3725097,3.364453,3.3322265,3.325781,15,0,3,0,1,0,0,255,255
2898911855,5.1014647,3.369287,3.3467286,3.3322265,3.3354492,15,0,3,0,1,0,0,255,255
2899411859,5.1111326,3.3676758,3.3467286,3.3306153,3.3322265,15,0,3,0,1,0,0,255,255
2899911974,5.0998535,3.325781,3.3483398,3.3322265,3.338672,15,0,3,0,1,0,0,255,255
2900411860,5.117578,3.319336,3.3435059,3.3306153,3.3322265,15,0,3,0,1,0,0,255,255
2900911873,5.103076,3.3273926,3.3467286,3.3306153,3.3354492,15,0,3,0,1,0,0,255,255
2901411855,5.1111326,3.3708985,3.345117,3.3290038,3.3273926,15,0,3,0,1,0,0,255,255
2901911916,5.0950193,3.3290038,3.3209472,3.3322265,3.3338377,15,0,3,0,1,0,0,255,255
2902412042,5.091797,3.3273926,3.349951,3.3354492,3.3322265,15,0,3,0,1,0,0,255,255
2902911928,5.0982423,3.3225586,3.3225586,3.3354492,3.3354492,15,0,3,0,1,0,0,255,255
2903411857,5.117578,3.3676758,3.345117,3.3322265,3.3354492,15,0,3,0,1,0,0,255,255
2903911887,5.067627,3.3209472,3.345117,3.3322265,3.3273926,15,0,3,0,1,0,0,255,255
2904412367,5.127246,3.3306153,3.3467286,3.3322265,3.3290038,15,0,3,0,1,0,0,255,255
2904911858,5.1208005,3.325781,3.3483398,3.3338377,3.3370605,15,0,3,0,1,0,0,255,255
2905411995,5.0756836,3.338672,3.383789,3.3354492,3.3418944,15,0,3,0,1,0,0,255,255
2905911979,5.115967,3.3676758,3.3467286,3.3322265,3.3370605,15,0,3,0,1,0,0,255,255
2906412134,5.088574,3.3241699,3.345117,3.3322265,3.3338377,15,0,3,0,1,0,1,255,255
2906911858,5.1143556,3.3290038,3.345117,3.3322265,3.3322265,15,0,3,0,1,0,0,255,255
2907411957,5.1256347,3.369287,3.3660643,3.3322265,3.3370605,15,0,3,0,1,0,0,255,255
2907912506,5.104687,3.3708985,3.3467286,3.3338377,3.3370605,15,0,3,0,1,0,0,255,255
2908411856,5.10791,3.3209472,3.3467286,3.3306153,3.3354492,15,0,3,0,1,0,0,255,255
2908911881,5.0982423,3.3209472,3.3435059,3.3290038,3.338672,15,0,3,0,1,0,0,255,255
2909411944,5.1111326,3.3273926,3.3467286,3.3306153,3.3370605,15,0,3,0,1,0,0,255,255
2909911865,5.1240234,3.369287,3.3483398,3.3338377,3.3370605,15,0,3,0,1,0,0,255,255
2910412055,5.143359,3.3273926,3.3435059,3.3273926,3.3338377,15,0,3,0,1,0,0,255,255
2910911862,5.146582,3.3789551,3.3322265,3.3322265,3.3435059,15,0,3,0,1,0,0,255,255
