timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
2899818152,2880.0,1.0,185.19829,0.0,32540,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900569338,2880.0,1.0,159.15472,0.0,32549,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901327019,2880.0,1.0,209.45815,0.0,32559,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902834268,2880.0,1.0,137.15553,0.0,32575,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903594324,2880.0,1.0,150.29047,0.0,32584,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904338138,2880.0,1.0,152.9324,0.0,32592,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2905095466,2880.0,1.0,150.59265,0.0,32600,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906611125,2880.0,1.0,194.76297,0.0,32619,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2907370108,2880.0,1.0,152.9347,0.0,32627,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2908123176,2880.0,1.0,150.88864,0.0,32634,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909634972,2880.0,1.0,137.681,0.0,32653,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910386049,2880.0,1.0,187.12035,0.0,32661,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
