timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
2874588236,7562769,0.001,100.0,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2875590083,7562769,0.001,100.0,0.91999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2876592989,7562769,0.001,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0,25
2877595979,7562769,0.001,100.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2878577220,7562769,0.001,100.0,2.9099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2879581755,7562769,0.001,100.0,2.8799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2880584977,7562769,0.001,100.0,2.9199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2881587942,7562769,0.001,100.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2882592930,7562769,0.001,100.0,2.9399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2883595422,7562769,0.001,100.0,2.9399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2884575401,7562769,0.001,100.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2885579325,7562769,0.001,100.0,2.9399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2886581577,7562769,0.001,100.0,2.8999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2887584442,7562769,0.001,100.0,2.8899999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2888588120,7562769,0.001,100.0,2.9299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2889590009,7562769,0.001,100.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2890592963,7562769,0.001,100.0,2.9299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2891594907,7562769,0.001,100.0,2.9299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2892575518,7562769,0.001,100.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2893578212,7562769,0.001,100.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2894580190,7562769,0.001,100.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2895585352,7562769,0.001,100.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2896587818,7562769,0.001,100.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2897593717,7562769,0.001,100.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0,25
2898574403,7562769,0.001,100.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2899577064,7562769,0.001,100.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2900581072,7562769,0.001,100.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2901583048,7562769,0.001,100.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2902586533,7562769,0.001,100.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0,25
2903591051,7562769,0.001,100.0,1.0799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,25
2904594389,7562769,0.001,100.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,25
2905574538,7562769,0.001,100.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0,25
2906576670,7562769,0.001,100.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,25
2907580259,7562769,0.001,100.0,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0,25
2908583057,7562769,0.001,100.0,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2909588738,7562769,0.001,100.0,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
2910591860,7562769,0.001,100.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,25
