timestamp,flags,pitch,yaw,pitch_rate,yaw_rate,origin_sysid,origin_compid,target_system,target_component,gimbal_device_id
2873940972,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2874039856,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874132857,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2874189215,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874272876,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874356338,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2874439901,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874522897,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874609036,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2874710865,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874771613,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2874838313,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2874909862,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2874973780,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2875058889,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2875140969,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2875240162,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2875322905,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2875392235,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2875473140,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2875573236,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2875641637,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2875722866,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2875807873,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2875905861,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2875990778,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2876055862,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2876122876,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2876208330,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876275142,12,nan,nan,-0.006199628,0.38870934,255,190,1,1,0
2876356855,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2876439872,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876506861,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876589023,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2876640861,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2876740955,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876822868,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876905960,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2876989736,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2877041625,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2877140585,12,nan,nan,-0.008059517,0.38728616,255,190,1,1,0
2877223860,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2877305861,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2877389325,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2877489281,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2877554866,12,nan,nan,-0.006819591,0.38918373,255,190,1,1,0
2877623860,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2877704977,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2877788867,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2877888505,12,nan,nan,-0.0055796653,0.38823494,255,190,1,1,0
2877991426,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2878055860,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2878157785,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2878239292,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2878311375,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2878389112,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2878440769,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2878521890,12,nan,nan,-0.008059517,0.38776055,255,190,1,1,0
2878607867,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2878705995,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2878806183,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2878872496,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2878955010,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2879039854,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2879107873,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2879189329,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2879272330,12,nan,nan,-0.008679479,0.38728616,255,190,1,1,0
2879376047,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2879451748,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2879507895,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2879589741,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2879688107,12,nan,nan,-0.0055796653,0.38823494,255,190,1,1,0
2879771963,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2879871930,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2879956152,12,nan,nan,-0.008059517,0.38776055,255,190,1,1,0
2880039866,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2880105368,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2880190002,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2880290498,12,nan,nan,-0.0074395537,0.38776055,255,190,1,1,0
2880371170,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2880454857,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2880541291,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2880620417,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
