timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
2891620570,2891619681,-2.873662,0.09688594,1.6203474,3.0138183,-2.9201224,-2.6241624,-1.9045936,0.08453504,0.0634748,0.056305088,0.050755255,0.044435382,0.050681412,0.06644073,0.0651969,0.06154883,0.047320306,1.2636843e-05,0.042350896,0.7504509,0.20712915,5.6467055e-05
2892617452,2892616461,-2.7942102,0.07638647,1.73238,3.1210802,-2.8501403,-2.591197,-1.9652734,0.24831101,0.20929193,0.13358192,0.06035114,-0.12155077,-0.3832703,-0.010052721,0.043092433,0.06731189,0.043607187,1.2940935e-05,0.026409743,0.7254288,0.24809022,5.825131e-05
2893624734,2893619187,-2.7426112,0.059978146,1.8624722,-3.0690687,-2.80092,-2.582837,-2.0564675,0.20662358,0.14246649,0.08786256,0.038466558,-0.08421538,-0.3198546,-0.032749236,-0.00071910024,0.013861984,0.0040302873,1.2486763e-05,0.01586685,0.69692403,0.28714836,4.819879e-05
2894626056,2894620460,-2.7351766,0.057910074,1.8788358,-3.057489,-2.7935634,-2.5793896,-2.0627031,-0.13692039,0.0338765,0.059570402,0.07504373,0.08828172,-0.039306164,-0.044490904,-0.019329973,0.0054635406,0.07440646,1.2470102e-05,0.015026031,0.69351995,0.29139423,4.733057e-05
2895618141,2895617240,-2.7578,0.055977676,1.8895395,-3.0709534,-2.8126936,-2.6028574,-2.0934043,-0.14616695,-0.0024336502,0.016032193,0.02609168,0.02950767,-0.020900277,-0.002694129,0.021448884,0.044033956,0.10347316,1.22585e-05,0.015733806,0.7029601,0.2812559,3.789598e-05
2896619368,2896618553,-2.7525744,0.0538397,1.9331656,-3.0547097,-2.8043003,-2.6003618,-2.1034575,-0.092834726,-0.01698611,-0.005466014,0.0017288253,0.009249628,0.009268533,0.0073470958,0.018024035,0.028605167,0.058643427,1.2217892e-05,0.016007118,0.7103528,0.27359775,3.0114843e-05
2897619192,2897618280,-2.756251,0.053822767,1.9317461,-3.057749,-2.8077729,-2.6041665,-2.1079178,0.02659034,0.0011060163,-0.0048512965,-0.009320058,-0.017606527,-0.00078681577,0.014325079,0.012883517,0.0106513,0.0018784823,1.2247935e-05,0.016038569,0.71087337,0.27304608,2.9682247e-05
2898622019,2898621049,-2.6367671,0.05373031,2.0536656,-2.937488,-2.688069,-2.485086,-1.9896954,-0.03066498,-0.05403532,-0.06083583,-0.06625339,-0.077570364,0.044431224,0.06762042,0.067690894,0.06650634,0.059334606,1.2596904e-05,0.01603231,0.71117544,0.27275035,2.9317478e-05
2899624847,2899623868,-1.7177597,0.05179839,3.0075228,-2.0082371,-1.7670434,-1.570534,-1.0903596,-0.09984696,-0.0448848,-0.045051157,-0.04810497,-0.06562662,-0.101793684,-0.04217267,-0.025684109,-0.012616774,0.014869189,1.2458763e-05,0.015669677,0.7139511,0.27034184,2.4859042e-05
2900623006,2900617598,-0.9820609,0.04594273,-2.4212406,-1.2414035,-1.0218897,-0.8423677,-0.39674798,0.33108872,0.009453729,-0.024822041,-0.042758197,-0.04473287,0.12212962,0.01279667,-0.04510045,-0.09706184,-0.23241334,1.2630904e-05,0.017280744,0.7393853,0.24330865,1.2630904e-05
2901620102,2901618871,-0.22810991,0.03942702,-1.5351741,-0.4539517,-0.25980005,-0.10080077,0.30001572,0.0137785375,-0.008761376,0.02157244,0.052966267,0.15168616,0.33237836,0.03492743,-0.012499043,-0.046300296,-0.10571374,1.261522e-05,0.0180956,0.76020557,0.22167353,1.261522e-05
2902619559,2902618645,0.47614467,0.03520592,-0.7326625,0.27299497,0.45015907,0.5957315,0.96614295,-0.24167287,-0.018694907,0.023750782,0.056803644,0.12820497,0.0809363,-0.00216493,0.0082556605,0.022328466,0.078123435,1.2677046e-05,0.019501826,0.7780027,0.20247018,1.2677046e-05
2903616319,2903615422,0.23269188,0.031875342,-0.89113784,0.048054606,0.20933352,0.34198475,0.6801456,-0.08681419,0.042301778,0.048795927,0.050055165,0.036684673,-0.20014161,-0.06061521,-0.027403563,0.00031614304,0.069621,1.2718622e-05,0.018588506,0.78249013,0.19889596,1.2718622e-05
2904622237,2904616695,0.3077736,0.02944817,-0.7420324,0.13835888,0.28670657,0.40845534,0.7207492,0.018103898,-0.034984082,-0.05769807,-0.07857305,-0.13851859,-0.21361238,-0.0432472,-0.022071606,-0.0073929667,0.017704241,1.2880836e-05,0.018018525,0.7867762,0.19517952,1.2880836e-05
2905623387,2905622465,0.2515209,0.028685454,-0.7653564,0.08852018,0.23197788,0.35009396,0.6529529,0.07600534,-0.024343967,-0.037885725,-0.047710642,-0.06646089,-0.006443754,-0.026849896,-0.038277447,-0.049031913,-0.081253104,1.29615055e-05,0.01868673,0.7929567,0.1883307,1.2833023e-05
2906617219,2906616292,0.28669378,0.027491128,-0.6911477,0.13117541,0.26931295,0.38300946,0.6766795,0.014972616,-0.015331313,-0.008242562,0.00015527755,0.031461377,0.16817339,0.021738783,-0.003113255,-0.022664264,-0.06759826,1.2864913e-05,0.0200953,0.8024327,0.17744558,1.3455293e-05
2907626208,2907625013,0.28637874,0.026669385,-0.6713099,0.1346257,0.26939955,0.38032067,0.6670589,-0.10206242,-0.026965179,-0.012581445,-0.00081504136,0.027976789,0.0022083991,-0.034816496,-0.034632977,-0.033032358,-0.023010708,1.28518805e-05,0.019803204,0.8028767,0.1772943,1.299587e-05
2908625749,2908620291,0.28362948,0.026593002,-0.6708916,0.13246374,0.2667643,0.3773041,0.6631239,-0.04141198,-0.0003208518,0.007021064,0.012924777,0.026948439,-0.038491733,-0.052003674,-0.050885342,-0.049234483,-0.04207234,1.2686065e-05,0.0198412,0.80329925,0.17683406,1.275829e-05
2908661687,2908660761,0.28312117,0.026597107,-0.67139983,0.13195539,0.26625606,0.37679568,0.66261566,-0.04141198,-0.0003208518,0.007021064,0.012924777,0.026948439,-0.038491733,-0.052003674,-0.050885342,-0.049234483,-0.04207234,1.2686065e-05,0.0198412,0.80329925,0.17683406,1.275829e-05
