timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
2874337571,2874336484,4395041,0.36206248,0.9630116,0.68541515,nan,0,0
2875337550,2875336463,4395041,0.3993712,0.93311036,0.71519023,nan,0,0
2876337522,2876336434,4395041,0.39938852,0.9555464,0.7111182,nan,0,0
2877337564,2877336451,4395041,0.37324414,0.9778996,0.71519023,nan,0,0
2878337526,2878336435,4395041,0.38071722,0.9480606,0.6853137,nan,0,0
2879337643,2879336473,4395041,0.39565593,0.9368834,0.719686,nan,0,0
2880337523,2880336435,4395041,0.421775,0.95552564,0.6938801,nan,0,0
2881337524,2881336435,4395041,0.39190635,0.9517725,0.6894948,nan,0,0
2882337554,2882336464,4395041,0.3620468,0.95550495,0.71090764,nan,0,0
2883337725,2883336636,4395041,0.40684488,0.936863,0.71101296,nan,0,0
2884337633,2884336440,4395041,0.37698475,0.94432807,0.71529615,nan,0,0
2885337541,2885336437,4395041,0.38444975,0.9256655,0.7067297,nan,0,0
2886337641,2886336434,4395041,0.40684488,0.9779207,0.71529615,nan,0,0
2887337527,2887336436,4395041,0.38818228,1.116024,0.6981633,nan,0,0
2888337523,2888336435,4395041,0.2724682,1.209311,0.65951675,nan,0,0
2889337553,2889336466,4395041,0.13810632,1.2205611,0.6511444,nan,0,0
2890337527,2890336436,4395041,0.055985406,1.127173,0.67654693,nan,0,0
2891337578,2891336491,4395041,0.052250784,1.1345885,0.6934693,nan,0,0
2892337585,2892336498,4395041,0.059715185,1.1084632,0.6934693,nan,0,0
2893337616,2893336435,4395041,0.052248523,1.1270753,0.68470526,nan,0,0
2894337525,2894336434,4395041,0.029855656,1.1569066,0.6846039,nan,0,0
2895337533,2895336444,4395041,0.059710015,1.1344903,0.7058934,nan,0,0
2896337550,2896336464,4395041,0.07463591,1.112075,0.69723403,nan,0,0
2897337544,2897336434,4395041,0.07463591,1.1158068,0.7015115,nan,0,0
2898337521,2898336434,4395041,0.085829444,1.138173,0.70568466,nan,0,0
2899337523,2899336436,4395041,0.19031747,1.2687831,0.69285405,nan,0,0
2900337529,2900336442,4395041,0.2985372,1.1941488,0.70140773,nan,0,0
2901337601,2901336438,4395041,0.44033286,1.0187362,0.7013041,nan,0,0
2902337521,2902336434,4395041,0.40674815,0.90305555,0.7013041,nan,0,0
2903337579,2903336488,4395041,0.421702,0.94416463,0.69305897,nan,0,0
2904338232,2904337145,4395041,0.36944774,0.9702669,0.7015115,nan,0,0
2905337522,2905336435,4395041,0.39183852,0.94787604,0.68440145,nan,0,0
2906337599,2906336440,4395041,0.33958605,0.91053843,0.6201471,nan,0,0
2907337530,2907336442,4395041,0.3321298,0.9366807,0.6672914,nan,0,0
2908337573,2908336479,4395041,0.30601382,0.9590921,0.7058934,nan,0,0
2909337578,2909336490,4395041,0.3134708,0.96653503,0.7186215,nan,0,0
2910337552,2910336465,4395041,0.3097457,0.9740196,0.72300595,nan,0,0
