timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
2874532144,2874531936,3670026,-0.06002765,-0.13662016,-0.028975192,48.549572,0,10
2875534504,2875534293,3670026,0.10546118,0.009640643,-0.020506341,48.56426,0,10
2876534378,2876534161,3670026,-0.10759171,0.24479777,0.100347914,48.59853,0,10
2877531745,2877531538,3670026,0.0092678005,0.012303804,0.14194648,48.632805,0,10
2878532866,2878532653,3670026,-0.070041135,0.012836437,0.026205506,48.67197,0,10
2879533985,2879533769,3670026,-0.02263687,-0.060773335,0.029454561,48.681763,0,10
2880531359,2880531149,3670026,-0.1911617,0.09155948,0.02924151,48.730724,0,10
2881532474,2881532266,3670026,-0.03717773,0.00990696,0.007989483,48.67687,0,10
2882533588,2882533383,3670026,0.057950385,0.0012250541,0.03334278,48.730724,0,10
2883530972,2883530764,3670026,-0.14508902,0.053795855,0.029827405,48.67197,0,10
2884532089,2884531882,3670026,-0.047191214,-0.072384715,0.04580637,48.716034,0,10
2885533205,2885532999,3670026,-0.18924423,0.026897928,0.0015978967,48.67197,0,10
2886534325,2886534118,3670026,-0.1887116,0.048682585,-0.63686836,48.760098,0,10
2887531706,2887531501,3670026,-0.057790596,-0.19339876,-0.7342335,48.76989,0,10
2888532833,2888532620,3670026,0.05161206,-0.06924219,-0.68347365,48.789474,0,10
2889531459,2889531250,3670026,0.011717909,-0.07882957,-0.6603574,48.872707,0,10
2890531334,2890531125,3670026,-0.2509763,-0.1257012,-0.03568636,48.779682,0,10
2891532450,2891532242,3670026,-0.2713761,-0.021837922,0.017630126,48.67197,0,10
2892533571,2892533360,3670026,0.022264026,0.16836505,0.06929545,48.485924,0,10
2893534680,2893534465,3670026,0.2657835,0.103863284,-0.00314253,48.50551,0,10
2894533287,2894533081,3670026,-0.17353158,0.123251095,0.013635385,48.304775,0,10
2895533149,2895532940,3670026,0.047404267,0.23590282,0.048469532,48.21175,0,10
2896534246,2896534040,3670026,-0.009054747,-0.07584683,-0.03904194,48.138313,0,10
2897531607,2897531401,3670026,-0.01981392,0.050387006,0.044581316,48.045288,0,10
2898532765,2898532495,3670026,0.030306773,0.20788635,0.90504867,47.9082,0,10
2899533795,2899533587,3670026,-0.22817965,0.080054626,0.7190002,47.991432,0,10
2900537386,2900537171,3670026,0.05044027,-0.018162759,0.79820263,47.976746,0,10
2901532274,2901532037,3670026,0.24160197,0.15281218,0.7249657,48.05508,0,10
2902535834,2902535624,3670026,-0.04958806,-0.1357147,0.089322425,48.059975,0,10
2903533198,2903532990,3670026,-0.00628506,0.14924355,0.10849718,48.167686,0,10
2904534291,2904534086,3670026,-0.13406353,-0.01768339,-0.0070840083,48.21175,0,10
2905531660,2905531451,3670026,-0.10301107,0.1849299,0.009853696,48.314568,0,10
2906532765,2906532555,3670026,-0.06892261,-0.021092236,0.18706043,48.24602,0,10
2907533913,2907533656,3670026,-0.14556839,-0.052996907,0.050120693,48.304775,0,10
2908532477,2908532271,3670026,-0.051825114,0.010759171,0.01949434,48.324356,0,10
2909532337,2909532132,3670026,-0.024873925,-0.03286341,0.04314321,48.36842,0,10
2910533455,2910533243,3670026,-0.029667614,0.0350472,0.02514024,48.38311,0,10
