timestamp,lat,lon,icao_address,altitude,heading,hor_velocity,ver_velocity,flags,squawk,altitude_type,callsign[0],callsign[1],callsign[2],callsign[3],callsign[4],callsign[5],callsign[6],callsign[7],callsign[8],emitter_type,tslc,uas_id[0],uas_id[1],uas_id[2],uas_id[3],uas_id[4],uas_id[5],uas_id[6],uas_id[7],uas_id[8],uas_id[9],uas_id[10],uas_id[11],uas_id[12],uas_id[13],uas_id[14],uas_id[15],uas_id[16],uas_id[17]
2881816993,39.616288,-76.7460736,10517391,10972.801,0.97825694,189.31,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881826021,39.548767999999995,-76.770912,11075814,1188.7201,1.2365657,78.189995,0.0,319,1141,0,78,54,56,65,72,32,32,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881835317,39.553756799999995,-76.82386559999999,11154913,7947.659,1.11544,217.59999,10.4,319,7167,0,65,65,76,50,48,55,49,32,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882816339,39.616288,-76.7460736,10517391,10972.801,0.9796531,189.81999,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882825858,39.548767999999995,-76.770912,11075814,1188.7201,1.2365657,78.189995,0.0,319,1141,0,78,54,56,65,72,32,32,32,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882835029,39.553756799999995,-76.82386559999999,11154913,7947.659,1.11544,217.59999,10.4,319,7167,0,65,65,76,50,48,55,49,32,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883817598,39.6136736,-76.75104,10517391,10965.181,0.9796531,189.81999,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883825853,39.548767999999995,-76.770912,11075814,1188.7201,1.2365657,78.189995,0.0,319,1141,0,78,54,56,65,72,32,32,32,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883834971,39.553756799999995,-76.82386559999999,11154913,7947.659,1.1143929,217.09,10.719999,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884816810,39.612624,-76.75306239999999,10517391,10972.801,0.9796531,189.81999,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884825675,39.548767999999995,-76.770912,11075814,1188.7201,1.2365657,78.189995,0.0,319,1141,0,78,54,56,65,72,32,32,32,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884834890,39.5497088,-76.8344704,11154913,8000.9995,1.1143929,217.09,10.719999,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885816854,39.611891199999995,-76.75454719999999,10517391,10965.181,0.9773843,190.34,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885825369,39.547568,-76.7752704,11075814,1188.7201,1.2281884,77.68,0.96999997,319,1141,0,78,54,56,65,72,32,32,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885833877,39.5488256,-76.8367936,11154913,8008.619,1.1143929,217.09,10.719999,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886816856,39.611891199999995,-76.75454719999999,10517391,10965.181,0.9773843,190.34,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886825521,39.547478399999996,-76.7756352,11075814,1188.7201,1.2281884,77.68,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886834392,39.5488256,-76.8367936,11154913,8008.619,1.1133454,216.58,10.719999,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887817210,39.609785599999995,-76.7585536,10517391,10972.801,0.9773843,190.34,0.0,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887825693,39.547478399999996,-76.7756352,11075814,1188.7201,1.2281884,77.68,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887833860,39.5488256,-76.8367936,11154913,8008.619,1.1133454,216.58,10.719999,319,7167,0,65,65,76,50,48,55,49,32,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888817364,39.609785599999995,-76.7585536,10517391,10972.801,0.9773843,190.34,0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
