timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
2895484926,1660940421100073,8747267,394804794,-766597239,97907,63347,0.06402588,20.197435,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.07207635,-0.031000001,0.047000002,-0.045,2.153873,0,nan,nan,nan,0,4,0,1,30
2896490846,1660940422100072,8747267,394804799,-766597243,97920,63360,0.050994873,2.9861727,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.15117209,0.119,-0.054,-0.076000005,-0.4259942,0,nan,nan,nan,0,4,0,1,30
2897485794,1660940423100072,8747267,394804808,-766597248,97950,63390,0.04901123,5.8653936,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.09899495,0.09,0.016,-0.038000003,0.17593963,0,nan,nan,nan,0,4,0,1,30
2898492587,1660940424100072,8747267,394804814,-766597246,97914,63354,0.0670166,4.0349565,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.15719098,0.120000005,0.047000002,0.09,0.3733019,0,nan,nan,nan,0,4,0,1,30
2899488941,1660940425100072,8747267,394804847,-766597239,97916,63357,0.041992188,0.2836543,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.38480648,0.38200003,0.046000004,-0.006,0.11984181,0,nan,nan,nan,0,4,0,1,30
2900492328,1660940426100071,8747267,394804864,-766597210,97932,63372,0.036987305,0.22107181,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.40927377,-0.07,0.40300003,-0.014,1.7427777,0,nan,nan,nan,0,4,0,1,30
2901494374,1660940427100071,8747267,394804836,-766597174,97405,62845,0.072021484,0.26702902,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.9114357,-0.51500005,0.067,0.749,3.0122223,0,nan,nan,nan,0,4,0,1,30
2902484533,1660940428100071,8747267,394804783,-766597187,96808,62248,0.07098389,0.26555786,0.33320105,0.42776558,0.7998047,0.7998047,0,0,0.76216865,-0.46500003,-0.22600001,0.56,-2.6891904,0,nan,nan,nan,0,4,0,1,30
2903484564,1660940429100071,8747267,394804772,-766597233,96249,61689,0.0869751,0.5778423,0.33320105,0.42890555,0.7998047,0.7998047,0,0,0.720393,0.039,-0.386,0.60700005,-1.4701018,0,nan,nan,nan,0,4,0,1,30
2904488878,1660940430100071,8747267,394804788,-766597257,95805,61246,0.06100464,0.64784825,0.33466327,0.43131793,0.7998047,0.7998047,0,0,0.3224376,0.30600002,-0.023000002,0.09900001,-0.07502233,0,nan,nan,nan,0,4,0,1,30
2905484991,1660940431100070,8747267,394804819,-766597246,95584,61024,0.0670166,0.5638232,0.33611915,0.43131793,0.8100586,0.8100586,0,0,0.40951437,0.28500003,0.194,0.22100002,0.59765637,0,nan,nan,nan,0,4,0,1,29
2906490774,1660940432100070,8747267,394804826,-766597217,95424,60864,0.054992676,0.567936,0.33611915,0.43131793,0.7998047,0.7998047,0,0,0.3584871,-0.027,0.31,0.178,1.6576738,0,nan,nan,nan,0,4,0,1,30
2907486837,1660940433100070,8747267,394804825,-766597210,95425,60865,0.06100464,13.481687,0.33611915,0.43131793,0.7998047,0.7998047,0,0,0.07109149,0.066,0.013,0.023000002,0.19448012,0,nan,nan,nan,0,4,0,1,30
2908482927,1660940434100070,8747267,394804826,-766597209,95443,60883,0.053985596,11.154049,0.33611915,0.43131793,0.7998047,0.7998047,0,0,0.070285134,-0.066,-0.022000002,-0.010000001,-2.819842,0,nan,nan,nan,0,4,0,1,30
2909492605,1660940435100070,8747267,394804826,-766597208,95460,60901,0.058013916,31.123339,0.33611915,0.43131793,0.7998047,0.7998047,0,0,0.045088805,-0.042000003,-0.010000001,-0.013,-2.9078496,0,nan,nan,nan,0,4,0,1,30
2910485534,1660940436100069,8747267,394804826,-766597206,95468,60908,0.050994873,52.035583,0.33611915,0.43131793,0.7998047,0.7998047,0,0,0.03132092,0.028,0.014,-0.001,0.4636476,0,nan,nan,nan,0,4,0,1,30
