timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2875825590,2875825504,0.058730375,-0.0147594465,0.01309932
2875845084,2875844990,0.060203243,-0.02213742,-0.0093571935
2875864599,2875864476,0.054360934,-0.022228051,0.01678013
2875885544,2875885461,0.11164198,0.0039034407,0.05793011
2875903582,2875903495,0.12175515,0.015437526,0.042887874
2875924525,2875924433,0.1882987,-0.0005742513,0.012306977
2875945585,2875945419,0.17955042,-0.0012190269,0.0075326706
2875966492,2875966408,0.1743069,-0.01633977,0.025230724
2875982975,2875982891,0.12566476,-0.021164615,0.06500104
2876003990,2876003876,0.16662505,-0.030380651,0.043155298
2876024953,2876024861,0.22611251,-0.047729276,0.016505979
2876042943,2876042848,0.17281061,-0.032504167,0.02412611
2876063919,2876063833,0.10624576,-0.04126487,0.055472244
2876084948,2876084818,0.055754628,-0.052795183,0.07768375
2876102906,2876102805,0.12003846,-0.06412529,0.03766228
2876123874,2876123790,0.1221263,-0.043808218,0.013103234
2876144866,2876144775,0.089771666,-0.024514258,0.016630521
2876165920,2876165806,0.06153102,-0.025218647,0.041151844
2876182333,2876182247,0.13321938,-0.068233676,0.065177776
2876203448,2876203279,0.1425196,-0.066609666,0.03976858
2876224324,2876224217,0.15748413,-0.08417363,0.016426202
2876245296,2876245202,0.10147757,-0.079930104,0.019893896
2876263324,2876263236,0.06102608,-0.03346692,0.04392909
2876284336,2876284174,0.048755046,-0.007074874,0.058993243
2876305252,2876305159,0.025480673,-0.0065421658,0.056930337
2876323309,2876323193,0.0022733256,0.006667086,0.024327789
2876344221,2876344131,-0.015055756,0.04273889,0.01923161
2876365226,2876365116,-0.023404773,0.09120225,0.024884965
2876387693,2876387600,-0.07683143,0.1407489,0.024590468
2876402675,2876402589,-0.18853277,0.1653426,0.05953711
2876423662,2876423574,-0.21445602,0.21360011,0.05822612
2876446145,2876446060,-0.19457914,0.2132185,0.053037092
2876462631,2876462546,-0.14859264,0.20456189,0.022228329
2876483613,2876483530,-0.102819026,0.18492387,0.027777642
2876503154,2876503068,-0.14440958,0.18070732,0.046925195
2876525743,2876525547,-0.114687644,0.1641094,0.04738684
2876543570,2876543487,-0.055256497,0.15328655,0.07104885
2876564557,2876564472,-0.018216811,0.17722335,0.062995195
2876582610,2876582459,0.0016650449,0.14769363,0.03568834
2876603533,2876603445,-0.027405888,0.1341128,0.030258968
2876624532,2876624429,-0.037870456,0.1221532,0.04827046
2876645564,2876645461,-0.065132685,0.09901496,0.06369975
2876666498,2876666399,-0.08752082,0.056845725,0.07305829
2876683025,2876682934,-0.07185543,0.005486179,0.053614337
2876703958,2876703872,-0.08452693,-0.04724885,0.04203715
2876724981,2876724857,-0.08273212,-0.08761798,0.033277415
2876742980,2876742891,-0.10617272,-0.07443359,0.048512015
2876763914,2876763829,-0.118219815,-0.085178666,0.05318046
2876786401,2876786313,-0.083800666,-0.103189975,0.048417274
2876805932,2876805800,-0.009827701,-0.11791564,0.049404226
2876823961,2876823790,0.014092248,-0.1463204,0.04507695
2876844875,2876844770,0.035832774,-0.12161759,0.041271687
2876865845,2876865755,0.00020795688,-0.08320864,0.046488076
2876882334,2876882244,0.00044328882,-0.07762626,0.037542492
2876903319,2876903229,-0.010284914,-0.051801432,0.037762772
2876924311,2876924213,-0.035179753,-0.053144738,0.043198165
2876945384,2876945245,-0.050039567,-0.085370414,0.05362526
