timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2879402306,2879401516,0.6758541,0.9213696,-9.844105
2879452204,2879451491,0.9128846,0.3878453,-9.3974695
2879502196,2879501485,0.4845754,-0.23750837,-9.318039
2879552196,2879551485,-0.009024332,-0.045205995,-9.583105
2879602200,2879601486,-0.13178338,0.22360271,-9.949211
2879652196,2879651485,-0.023535244,-0.38707718,-10.642882
2879702193,2879701485,0.19030851,-0.69285876,-10.331791
2879752195,2879751484,0.42340893,0.017510345,-9.925237
2879802307,2879801484,0.1895861,0.20927387,-10.02262
2879852211,2879851502,0.114763826,0.52611274,-9.735571
2879902201,2879901489,0.06740397,0.6348326,-9.749767
2879952284,2879951574,0.333144,1.2512565,-9.752432
2880002262,2880001484,0.2817891,1.166795,-9.524815
2880052197,2880051486,-0.24744366,0.966903,-9.804918
2880102223,2880101485,0.579401,1.0421118,-9.675133
2880152198,2880152111,0.80792135,1.0793713,-9.783776
2880202271,2880202110,0.66333526,0.7569744,-9.771624
2880252196,2880251485,0.5957655,-0.0069487724,-9.954175
2880302196,2880301485,0.49557188,0.21314451,-9.989975
2880352196,2880351485,0.07119936,0.37730885,-9.7457
2880402228,2880401491,-0.16972122,0.4159191,-9.873794
2880452201,2880451486,-0.58946234,0.81938624,-9.399366
2880507196,2880506485,-0.006256562,0.41301006,-9.377375
2880552198,2880551489,0.060805105,0.1958288,-9.282308
2880602242,2880601493,0.15237024,-0.11750042,-9.561567
2880652368,2880651658,0.5486645,0.85900205,-9.775274
2880702198,2880701485,0.6746818,1.5244362,-9.509081
2880752197,2880751486,0.73828405,1.0338646,-9.842002
2880802195,2880801485,0.11472818,0.7005403,-9.731252
2880852210,2880852110,0.1568745,0.6206358,-9.037011
2880902252,2880902109,-0.4294671,-0.74882764,-9.39484
2880952196,2880951486,0.04321568,-0.513751,-9.569341
2881002271,2881001485,0.2570689,0.3582212,-9.942908
2881052203,2881051490,0.3393057,0.726996,-9.851672
2881102203,2881101488,0.35986936,0.822156,-9.823508
2881152201,2881152110,-0.12122037,0.7737727,-10.151982
2881202352,2881202112,0.0066597294,0.3133473,-9.578448
2881252225,2881251510,0.022155477,0.11878779,-9.546245
2881302230,2881301519,0.22146958,0.015816903,-9.820922
2881352378,2881351596,0.3528965,0.12353212,-9.692738
2881402198,2881401485,0.08808415,0.5183262,-9.739354
2881452258,2881451548,-0.029960461,1.2003099,-9.545503
2881502198,2881501487,0.21620986,1.3039801,-9.266434
2881552223,2881551489,0.67285734,0.7974365,-9.719316
2881602245,2881601485,0.3996945,1.6511328,-9.712359
2881652198,2881651485,0.29396367,1.5483421,-9.926643
