timestamp,q[0],q[1],q[2],q[3],angular_velocity_x,angular_velocity_y,angular_velocity_z,failure_flags,device_flags,target_system,target_component,received_from_mavlink
2873954471,0.9907616,0.0,0.0,0.1356153,0.0,0.0,0.0,0,30,0,0,0
2874004547,0.99076277,0.0,0.0,0.13560672,0.0,0.0,0.0,0,30,0,0,0
2874104386,0.990763,0.0,0.0,0.13560483,0.0,0.0,0.0,0,30,0,0,0
2874204389,0.9907642,0.0,0.0,0.13559616,0.0,0.0,0.0,0,30,0,0,0
2874254387,0.99079317,0.0,0.0,0.13538405,0.0,0.0,0.0,0,30,0,0,0
2874404390,0.9908795,0.0,0.0,0.13475108,0.0,0.0,0.0,0,30,0,0,0
2874454392,0.9909174,0.0,0.0,0.13447218,0.0,0.0,0.0,0,30,0,0,0
2874604641,0.9912311,0.0,0.0,0.13213968,0.0,0.0,0.0,0,30,0,0,0
2874704745,0.99145263,0.0,0.0,0.13046731,0.0,0.0,0.0,0,30,0,0,0
2874754386,0.991697,0.0,0.0,0.12859653,0.0,0.0,0.0,0,30,0,0,0
2874854425,0.99223584,0.0,0.0,0.124370374,0.0,0.0,0.0,0,30,0,0,0
2874954388,0.99281543,0.0,0.0,0.11965565,0.0,0.0,0.0,0,30,0,0,0
2875104386,0.9936291,0.0,0.0,0.11269991,0.0,0.0,0.0,0,30,0,0,0
2875154751,0.9938755,0.0,0.0,0.11050565,0.0,0.0,0.0,0,30,0,0,0
2875304386,0.9944094,0.0,0.0,0.10559325,0.0,0.0,0.0,0,30,0,0,0
2875354392,0.9945368,0.0,0.0,0.10438619,0.0,0.0,0.0,0,30,0,0,0
2875455173,0.99478686,0.0,0.0,0.10197606,0.0,0.0,0.0,0,30,0,0,0
2875604471,0.9949705,0.0,0.0,0.100168616,0.0,0.0,0.0,0,30,0,0,0
2875654386,0.9950005,0.0,0.0,0.099870205,0.0,0.0,0.0,0,30,0,0,0
2875804386,0.9949572,0.0,0.0,0.1003001,0.0,0.0,0.0,0,30,0,0,0
2875854390,0.99490285,0.0,0.0,0.10083828,0.0,0.0,0.0,0,30,0,0,0
2876004386,0.994633,0.0,0.0,0.103465855,0.0,0.0,0.0,0,30,0,0,0
