timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
2873623999,-0.22163323,0,0,0,0,0,0,0,0
2874129242,-0.3725204,0,0,0,0,0,0,0,0
2874635031,-0.5916917,0,0,0,0,0,0,0,0
2875141155,-2.088808,0,0,0,0,0,0,0,0
2875641948,-2.2920558,0,0,0,0,0,0,0,0
2876142357,-2.0054646,0,0,0,0,0,0,0,0
2876643466,-2.3740852,0,0,0,0,0,0,0,0
2877146936,-1.8798338,0,0,0,0,0,0,0,0
2877651172,-1.762647,0,0,0,0,0,0,0,0
2878159170,-1.7300416,0,0,0,0,0,0,0,0
2878665285,-1.8497618,0,0,0,0,0,0,0,0
2879167322,-2.4097054,0,0,0,0,0,0,0,0
2879668682,-1.8997452,0,0,0,0,0,0,0,0
2880171251,-2.3012595,0,0,0,0,0,0,0,0
2880678969,-2.2345226,0,0,0,0,0,0,0,0
2881191079,-1.9728141,0,0,0,0,0,0,0,0
2881699595,-1.4927652,0,0,0,0,0,0,0,0
2882204311,-1.7666541,0,0,0,0,0,0,0,0
2882706049,-0.99612135,0,0,0,0,0,0,0,0
2883209929,-1.2297333,0,0,0,0,0,0,0,0
2883712465,-1.4712952,0,0,0,0,0,0,0,0
2884216315,-1.5775393,0,0,0,0,0,0,0,0
2884718983,-1.812604,0,0,0,0,0,0,0,0
2885222135,-1.7524254,0,0,0,0,0,0,0,0
2885722260,-1.6816236,0,0,0,0,0,0,0,0
2886228691,-1.8830861,0,0,0,0,0,0,0,0
2886731201,-1.9336495,0,0,0,0,0,0,0,0
2887234925,-1.5325279,0,0,0,0,0,0,0,0
2887739993,-1.7175567,0,0,0,0,0,0,0,0
2888244064,-1.8052231,0,0,0,0,0,0,0,0
2888751532,-2.0185072,0,0,0,0,0,0,0,0
2889259782,-2.0378568,0,0,0,0,0,0,0,0
2889766087,-2.461309,0,0,0,0,0,0,0,0
2890274084,-2.4968908,0,0,0,0,0,0,0,0
2890783828,-2.734917,0,0,0,0,0,0,0,0
2891288447,-2.7657928,0,0,0,0,0,0,0,0
2891795795,-2.4440646,0,0,0,0,0,0,0,0
2892305311,-2.4136453,0,0,0,0,0,0,0,0
2892807403,-2.3542097,0,0,0,0,0,0,0,0
2893311080,-2.4520938,0,0,0,0,0,0,0,0
2893819740,-2.8821003,0,0,0,0,0,0,0,0
2894328984,-2.825596,0,0,0,0,0,0,0,0
2894834217,-2.6376839,0,0,0,0,0,0,0,0
2895335073,-2.3985271,0,0,0,0,0,0,0,0
2895841271,-2.029634,0,0,0,0,0,0,0,0
2896347063,-2.9667165,0,0,0,0,0,0,0,0
2896853206,-2.1822739,0,0,0,0,0,0,0,0
2897363122,-2.3684664,0,0,0,0,0,0,0,0
2897869025,-2.7260911,0,0,0,0,0,0,0,0
2898102422,-2.5508685,0,0,0,0,0,0,0,0
2898607028,-2.5253778,0,0,0,0,0,0,0,0
2899112440,-1.8882987,0,0,0,0,0,0,0,0
2899618087,-1.6857843,0,0,0,0,0,0,0,0
2900120720,-1.7954423,0,0,0,0,0,0,0,0
2900626102,-1.5986809,0,0,0,0,0,0,0,0
2901128129,-1.2864429,0,0,0,0,0,0,0,0
2901634929,-1.5991348,0,0,0,0,0,0,0,0
2902145030,-1.8382297,0,0,0,0,0,0,0,0
2902647603,-1.7487731,0,0,0,0,0,0,0,0
2903152062,-1.4540628,0,0,0,0,0,0,0,0
2903653940,-1.3594424,0,0,0,0,0,0,0,0
2904156115,-1.1986538,0,0,0,0,0,0,0,0
2904664051,-1.2888792,0,0,0,0,0,0,0,0
2905170227,-1.6277423,0,0,0,0,0,0,0,0
2905672616,-1.4961202,0,0,0,0,0,0,0,0
2906173230,-1.5480937,0,0,0,0,0,0,0,0
2906676801,-1.7141287,0,0,0,0,0,0,0,0
2907178086,-1.6852391,0,0,0,0,0,0,0,0
2907686312,-1.6127414,0,0,0,0,0,0,0,0
2908189379,-1.7024245,0,0,0,0,0,0,0,0
2908698687,-1.1608785,0,0,0,0,0,0,0,0
2909202329,-0.57999367,0,0,0,0,0,0,0,0
2909713346,-0.2823867,0,0,0,0,0,0,0,0
2910224015,-0.14296573,0,0,0,0,0,0,0,0
2910673741,-0.080141366,0,0,0,0,0,0,0,0
2910688269,-0.080141366,0,0,0,0,0,0,0,0
