timestamp,state,acquired
2898157369,1,1
2898217018,1,1
2898262262,1,1
2898362091,1,1
2898456579,1,1
2898509636,1,1
2898659381,1,1
2898711909,1,1
2898808811,1,1
2898920533,1,1
2899012303,1,1
2899112528,1,1
2899218875,1,1
2899317800,1,1
2899421352,1,1
2899519396,1,1
2899618205,1,1
2899729875,1,1
2899833483,1,1
2899926455,1,1
2900029983,1,1
2900120850,1,1
2900220419,2,1
2900328276,2,1
2900419398,2,1
2900520116,2,1
2900626182,2,1
2900738396,2,1
2900831645,2,1
2900928809,2,1
2901033334,2,1
2901128211,2,1
2901235088,2,1
2901330726,2,1
2901431337,2,1
2901528144,2,1
2901635009,2,1
2901750199,2,1
2901840361,2,1
2901945999,2,1
2902045751,2,1
2902145425,2,1
2902249587,2,1
2902351117,2,1
2902450691,2,1
2902553898,2,1
2902647682,2,1
2902750268,2,1
2902846264,2,1
2902946776,2,1
2903056005,2,1
2903152539,2,1
2903259980,2,1
2903356818,2,1
2903411722,2,1
2903506009,2,1
2903654095,2,1
2903756864,2,1
2903859685,2,1
2903953039,2,1
2904006552,2,1
2904156194,2,1
2904207765,2,1
2904352838,2,1
2904453252,2,1
2904558538,2,1
2904653203,2,1
2904724181,2,1
2904821192,2,1
2904922409,2,1
2905021276,2,1
2905120017,2,1
2905224538,2,1
2905322565,2,1
2905428160,2,1
2905525287,2,1
2905623640,2,1
2905727965,2,1
2905831568,2,1
2905926263,2,1
2906024150,2,1
2906128663,2,1
2906226197,2,1
2906330595,2,1
2906428660,2,1
2906527735,2,1
2906632029,2,1
2906722302,2,1
2906831438,2,1
2906932981,2,1
2907022963,2,1
2907121228,2,1
2907235075,2,1
2907332667,2,1
2907437587,2,1
2907534984,2,1
2907640808,2,1
2907738598,2,1
2907840117,2,1
2907943145,2,1
2908039986,2,1
2908144979,2,1
2908238043,2,1
2908348900,2,1
2908440616,2,1
2908542852,2,1
2908643645,2,1
2908756115,6,0
2908861553,6,0
2908957341,6,0
2909053019,6,0
2909154220,6,0
2909251233,6,0
2909357646,6,0
2909457554,6,0
2909550657,6,0
2909651398,6,0
2909713686,6,0
2909814570,6,0
2909920666,6,0
2910019919,6,0
2910123568,6,0
2910224086,6,0
2910328720,6,0
2910417284,6,0
2910517536,6,0
2910616763,6,0
2910666260,6,0
