timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
2873978564,2873977382,6684698,-0.0030960625,-0.0019326371,0.0011615668,0.34906584,1.7974114e-09,1.8001497e-09,3.943457e-09,6946842,-0.04558393,-0.013527561,0.0029086764,0.4,4.984203e-06,4.984203e-06,4.984278e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874045801,2874040292,6684698,-0.0031323559,-0.001936116,0.0011605215,0.34906584,1.7926423e-09,1.7953979e-09,3.9287924e-09,6946842,-0.04507934,-0.015421125,0.0030686231,0.4,4.9706823e-06,4.9706823e-06,4.9707205e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874122332,2874121231,6684698,-0.003173899,-0.0019449478,0.001166025,0.34906584,1.801044e-09,1.8037923e-09,3.9457593e-09,6946842,-0.04514249,-0.016976332,0.0030974406,0.4,4.988383e-06,4.988383e-06,4.9884034e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874182224,2874181188,6684698,-0.0031949796,-0.0019446037,0.0011658384,0.34906584,1.8021128e-09,1.8048186e-09,3.9462282e-09,6946842,-0.04514189,-0.018115694,0.0031229244,0.4,4.987737e-06,4.987737e-06,4.9878045e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874326244,2874320588,6684698,-0.0031969526,-0.0019271218,0.0011638363,0.34906584,1.8041436e-09,1.8068574e-09,3.9458734e-09,6946842,-0.04619397,-0.018197455,0.002887512,0.4,4.988591e-06,4.988591e-06,4.9886107e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874444744,2874439002,6684698,-0.0031853209,-0.0019116671,0.0011653719,0.34906584,1.8057652e-09,1.8085746e-09,3.9444936e-09,6946842,-0.047261585,-0.017360244,0.002822717,0.4,4.9907167e-06,4.9907167e-06,4.9907444e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874581322,2874579901,6684698,-0.0031746912,-0.0019012814,0.0011642657,0.34906584,1.810134e-09,1.8130921e-09,3.955417e-09,6946842,-0.048326805,-0.016264226,0.002560917,0.4,4.999666e-06,4.999666e-06,4.999666e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874769715,2874768765,6684698,-0.0031745515,-0.0018914009,0.0011615452,0.34906584,1.8205416e-09,1.8236083e-09,3.9595323e-09,6946842,-0.049310636,-0.015975378,0.0024976546,0.4,5.006315e-06,5.006315e-06,5.0063345e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2874933057,2874932148,6684698,-0.003161046,-0.0018859209,0.0011643284,0.34906584,1.8181062e-09,1.8213742e-09,3.958805e-09,6946842,-0.04965377,-0.01506019,0.0022417342,0.4,5.004467e-06,5.004467e-06,5.0044996e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875181865,2875180968,6684698,-0.0031740456,-0.0018805409,0.0011641963,0.34906584,1.8156882e-09,1.8193032e-09,3.9454835e-09,6946842,-0.04941958,-0.01669612,0.0024216848,0.4,4.98884e-06,4.98884e-06,4.9888986e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875287586,2875285893,6684698,-0.0031878727,-0.0018701155,0.0011539301,0.34906584,1.8209444e-09,1.8247115e-09,3.9455874e-09,6946842,-0.050389197,-0.017470624,0.002421927,0.4,4.9945656e-06,4.9945656e-06,4.9945656e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875388074,2875386367,6684698,-0.0032198236,-0.0018690362,0.0011515134,0.34906584,1.8312574e-09,1.8352255e-09,3.9639247e-09,6946842,-0.051338162,-0.018765775,0.0023934399,0.4,5.0184876e-06,5.0184876e-06,5.0185295e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875584126,2875581234,6684698,-0.0031938378,-0.0018515754,0.0011380933,0.34906584,1.8293451e-09,1.8335327e-09,3.9477595e-09,6946842,-0.051914975,-0.017782943,0.0027720684,0.4,4.9986743e-06,4.9986743e-06,4.9987375e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875670761,2875669616,6684698,-0.0032055853,-0.0018554206,0.0011442271,0.34906584,1.8438625e-09,1.8481384e-09,3.9759227e-09,6946842,-0.052847933,-0.017308254,0.0024902227,0.4,5.0306253e-06,5.0306253e-06,5.030675e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875790783,2875789530,6684698,-0.0031611335,-0.0018359431,0.0011328078,0.34906584,1.8322932e-09,1.8366181e-09,3.9442507e-09,6946842,-0.052986443,-0.01570521,0.0025706077,0.4,4.9944133e-06,4.9944133e-06,4.9944133e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2875919501,2875918484,6684698,-0.0031445057,-0.0018296757,0.0011331936,0.34906584,1.8382555e-09,1.8426219e-09,3.9498183e-09,6946842,-0.05361989,-0.014448526,0.0029114294,0.4,4.997691e-06,4.997691e-06,4.9977093e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2876072552,2876066830,6684698,-0.0031357869,-0.00181852,0.0011319771,0.34906584,1.846606e-09,1.8509759e-09,3.9527515e-09,6946842,-0.054572,-0.013757991,0.0025870774,0.4,5.0013778e-06,5.0013778e-06,5.0014423e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2876188901,2876186748,6684698,-0.0031430507,-0.0018064854,0.00112847,0.34906584,1.8506937e-09,1.8550377e-09,3.9537644e-09,6946842,-0.05556476,-0.014113202,0.0022599278,0.4,5.0064305e-06,5.0064305e-06,5.0064305e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2876388333,2876381604,6684698,-0.0031238785,-0.0017789747,0.0011216296,0.34906584,1.8463461e-09,1.8505147e-09,3.9386365e-09,6946842,-0.0563579,-0.01410118,0.0015298638,0.4,4.9760824e-06,4.9760824e-06,4.9760824e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2876666058,2876660450,6684698,-0.0031266115,-0.0017804219,0.0011255601,0.34906584,1.871764e-09,1.8758475e-09,3.9798502e-09,6946842,-0.056986228,-0.013310935,0.001726703,0.4,4.9931027e-06,4.9931027e-06,4.993154e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2876887194,2876885288,6684698,-0.0031472542,-0.0017870321,0.0011336271,0.34906584,1.9021382e-09,1.906242e-09,4.0286117e-09,6946842,-0.058163214,-0.013368714,0.0015236706,0.4,5.0254653e-06,5.0254653e-06,5.0254653e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877049719,2877044127,6684698,-0.0031418083,-0.0017781808,0.0011333288,0.34906584,1.9140143e-09,1.9181174e-09,4.039889e-09,6946842,-0.059525248,-0.01297504,0.0015304782,0.4,5.0195895e-06,5.0195895e-06,5.0196013e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877187368,2877185072,6684698,-0.0031466829,-0.0017719901,0.0011347444,0.34906584,1.9267556e-09,1.9308564e-09,4.054261e-09,6946842,-0.061130084,-0.014003477,0.0011932647,0.4,5.0200547e-06,5.0200547e-06,5.0200547e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877328836,2877327470,6684698,-0.0031463054,-0.0017672761,0.0011342413,0.34906584,1.9381672e-09,1.9422586e-09,4.064347e-09,6946842,-0.06199204,-0.014699771,0.0012144337,0.4,5.0152003e-06,5.0152003e-06,5.0152003e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877492623,2877490806,6684698,-0.0031289624,-0.0017526683,0.0011270547,0.34906584,1.9399455e-09,1.9439919e-09,4.0523545e-09,6946842,-0.06249067,-0.015881104,0.00066075823,0.4,4.9807977e-06,4.9807977e-06,4.9807977e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877592951,2877591233,6684698,-0.0031353498,-0.001753291,0.0011286277,0.34906584,1.9517579e-09,1.9558006e-09,4.0670702e-09,6946842,-0.063215666,-0.016877852,0.00043764844,0.4,4.986665e-06,4.986665e-06,4.986665e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877734775,2877729134,6684698,-0.0031416367,-0.0017549914,0.0011302092,0.34906584,1.9678803e-09,1.9719217e-09,4.086294e-09,6946842,-0.06358821,-0.017730417,1.3436603e-05,0.4,4.993132e-06,4.993132e-06,4.993132e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877863616,2877858041,6684698,-0.0031438011,-0.0017538586,0.001130236,0.34906584,1.9804798e-09,1.9845097e-09,4.0991686e-09,6946842,-0.06422918,-0.018606616,-0.00018967042,0.4,4.993055e-06,4.993055e-06,4.993073e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2877990312,2877988447,6684698,-0.0031504445,-0.001754095,0.0011314659,0.34906584,1.994887e-09,1.9989084e-09,4.116095e-09,6946842,-0.06522988,-0.019985609,-0.0007947045,0.4,4.9979085e-06,4.9979085e-06,4.9979085e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
2878131858,2878126348,6684698,-0.0031578206,-0.0017564171,0.0011329883,0.34906584,2.011789e-09,2.015809e-09,4.1366635e-09,6946842,-0.06567787,-0.021015305,-0.0012800099,0.4,5.0059134e-06,5.0059134e-06,5.0059134e-06,8943875,0.03151322,0.0069357255,-0.012525029,0.5,1.0942143e-05,1.0916877e-05,0.00025474178,1,1,1
