timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
2892514976,2892514678,3670026,3670026,-0.00037018783,-0.0002953914,-0.00036203596,0.0035690428,-0.015879022,-0.049156852,4980,4980,0,2
2893013028,2893012743,3670026,3670026,0.0004807589,0.00011580608,-0.0003508555,0.004476988,-0.0044511976,-0.043572206,4971,4971,0,2
2893511126,2893510808,3670026,3670026,0.0014436297,-0.0005517677,-1.991197e-05,0.0124315135,0.003623798,-0.023933373,4981,4981,0,2
2894014137,2894013851,3670026,3670026,-0.00028035935,0.00033681496,-8.462581e-05,0.0034593765,-0.0022661507,-0.052579965,4981,4981,0,2
2894512281,2894511914,3670026,3670026,-5.8146405e-05,0.00034162344,-0.00010214178,-0.0006263454,0.006454752,-0.051030338,4981,4981,0,2
2895010397,2895009975,3670026,3670026,-0.00022561497,0.00031080036,-0.00014282527,0.008907733,0.0029337392,-0.047955327,4980,4980,0,2
2895513520,2895513017,3670026,3670026,-0.0005622896,6.646652e-05,0.000121776706,-0.002090618,-0.012584325,-0.056826655,4981,4981,0,2
2896011360,2896011077,3670026,3670026,0.00023039697,0.00036827943,3.405768e-05,0.007018323,0.014026788,-0.048590325,4981,4981,0,2
2896514773,2896514118,3670026,3670026,0.00026804066,8.5378e-05,-0.0003139934,0.0019331886,-0.008783741,-0.05819361,4976,4976,0,2
2897012463,2897012176,3670026,3670026,-0.00027427304,-0.0005007572,6.747897e-05,0.0016771883,0.0014954059,-0.05498116,4981,4981,0,2
2897515494,2897515214,3670026,3670026,-0.0003673465,0.0004216269,2.0874824e-05,-0.007956871,-0.0073867342,-0.042515825,4981,4981,0,2
2898008639,2898008290,3670026,3670026,-0.00011981611,-0.0001409459,6.021074e-05,0.0071999105,0.000300814,-0.0490764,4980,4980,0,2
2898511817,2898511327,3670026,3670026,0.00050104957,0.0009537468,0.003961606,-0.018835763,-0.00617201,-0.05702278,4981,4981,0,2
2899009834,2899009386,3670026,3670026,-0.00015124543,0.00013273256,0.0048941397,0.0014358987,0.016320603,-0.04978872,4977,4977,0,2
