timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2873954470,0,-0.048558764,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874004546,0,-0.04842483,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874104385,0,-0.049288042,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874204385,0,-0.050680745,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874254386,0,-0.05028244,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874404389,0,-0.04926678,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874454391,0,-0.04831254,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874604640,0,-0.040454872,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874654393,0,-0.03468604,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874754385,0,-0.0055471146,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874854424,0,0.03724359,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2874954387,0,0.058587525,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2875104385,0,0.052691363,-0.9896771,0.0,0.0,0.0,0.0,0.0,0.0
2875154750,0,0.04158612,-0.98787534,0.0,0.0,0.0,0.0,0.0,0.0
2875304385,0,0.002595711,-0.9874239,0.0,0.0,0.0,0.0,0.0,0.0
2875354391,0,-0.008071436,-0.9859561,0.0,0.0,0.0,0.0,0.0,0.0
2875455172,0,-0.021282367,-0.98301864,0.0,0.0,0.0,0.0,0.0,0.0
2875604470,0,-0.02381206,-0.9792727,0.0,0.0,0.0,0.0,0.0,0.0
2875654385,0,-0.022767225,-0.9783001,0.0,0.0,0.0,0.0,0.0,0.0
2875804385,0,-0.022533894,-0.97098285,0.0,0.0,0.0,0.0,0.0,0.0
2875854389,0,-0.025071627,-0.9721558,0.0,0.0,0.0,0.0,0.0,0.0
2876004385,0,-0.05221473,-0.9740105,0.0,0.0,0.0,0.0,0.0,0.0
2876054386,0,-0.0626395,-0.9764128,0.0,0.0,0.0,0.0,0.0,0.0
2876154410,0,-0.074829966,-0.9830915,0.0,0.0,0.0,0.0,0.0,0.0
2876304385,0,-0.092337124,-0.99270946,0.0,0.0,0.0,0.0,0.0,0.0
2876354385,0,-0.09246929,-0.991806,0.0,0.0,0.0,0.0,0.0,0.0
2876454387,0,-0.07395148,-0.9723157,0.0,0.0,0.0,0.0,0.0,0.0
2876554386,0,-0.061215624,-0.9498815,0.0,0.0,0.0,0.0,0.0,0.0
2876704387,0,-0.053050146,-0.93151534,0.0,0.0,0.0,0.0,0.0,0.0
2876754440,0,-0.04699168,-0.9354797,0.0,0.0,0.0,0.0,0.0,0.0
2876904385,0,-0.043788176,-0.9550016,0.0,0.0,0.0,0.0,0.0,0.0
2877004385,0,-0.041697383,-0.962024,0.0,0.0,0.0,0.0,0.0,0.0
2877054387,0,-0.04260292,-0.9636136,0.0,0.0,0.0,0.0,0.0,0.0
2877204455,0,-0.047030307,-0.97164357,0.0,0.0,0.0,0.0,0.0,0.0
2877254385,0,-0.04554073,-0.9743953,0.0,0.0,0.0,0.0,0.0,0.0
2877404386,0,-0.04418815,-0.971557,0.0,0.0,0.0,0.0,0.0,0.0
2877454415,0,-0.0437169,-0.9686284,0.0,0.0,0.0,0.0,0.0,0.0
2877604384,0,-0.039936185,-0.96130395,0.0,0.0,0.0,0.0,0.0,0.0
2877654504,0,-0.035558242,-0.96085745,0.0,0.0,0.0,0.0,0.0,0.0
2877754387,0,-0.026284184,-0.960495,0.0,0.0,0.0,0.0,0.0,0.0
2877904385,0,-0.023018023,-0.9606748,0.0,0.0,0.0,0.0,0.0,0.0
2877954386,0,-0.025675366,-0.9595817,0.0,0.0,0.0,0.0,0.0,0.0
2878104389,0,-0.034784913,-0.9560748,0.0,0.0,0.0,0.0,0.0,0.0
2878154386,0,-0.034813304,-0.95570314,0.0,0.0,0.0,0.0,0.0,0.0
2878304385,0,-0.029519135,-0.95397514,0.0,0.0,0.0,0.0,0.0,0.0
2878405708,0,-0.024709446,-0.9580352,0.0,0.0,0.0,0.0,0.0,0.0
2878454386,0,-0.019785626,-0.95924634,0.0,0.0,0.0,0.0,0.0,0.0
2878604387,0,-0.008034587,-0.96489495,0.0,0.0,0.0,0.0,0.0,0.0
2878654384,0,-0.0030016182,-0.9648876,0.0,0.0,0.0,0.0,0.0,0.0
2878754385,0,0.008662176,-0.9648929,0.0,0.0,0.0,0.0,0.0,0.0
2878855202,0,0.02031503,-0.9616475,0.0,0.0,0.0,0.0,0.0,0.0
2878954724,0,0.027899636,-0.9610538,0.0,0.0,0.0,0.0,0.0,0.0
2879054499,0,0.031177647,-0.9663056,0.0,0.0,0.0,0.0,0.0,0.0
2879154386,0,0.026611535,-0.97413963,0.0,0.0,0.0,0.0,0.0,0.0
2879304384,0,0.020392226,-0.97856826,0.0,0.0,0.0,0.0,0.0,0.0
2879354387,0,0.015577736,-0.98198843,0.0,0.0,0.0,0.0,0.0,0.0
2879454387,0,0.0057006897,-0.9918577,0.0,0.0,0.0,0.0,0.0,0.0
2879554388,0,-0.0014021175,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2879654386,0,-0.00711971,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2879804425,0,-0.010274486,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2879854386,0,-0.012544806,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2880004383,0,-0.010922583,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2880055292,0,-0.008935071,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2880154387,0,-0.006219538,-0.9927431,0.0,0.0,0.0,0.0,0.0,0.0
2880254385,0,-0.0046101017,-0.9861786,0.0,0.0,0.0,0.0,0.0,0.0
2880354385,0,-0.0049878675,-0.98757654,0.0,0.0,0.0,0.0,0.0,0.0
2880504387,0,0.0038894694,-0.9893293,0.0,0.0,0.0,0.0,0.0,0.0
2880554386,0,0.008960034,-0.99189425,0.0,0.0,0.0,0.0,0.0,0.0
2880704474,0,0.012581271,-0.9918679,0.0,0.0,0.0,0.0,0.0,0.0
2880755122,0,0.014698301,-0.9855906,0.0,0.0,0.0,0.0,0.0,0.0
2880904387,0,0.021143772,-0.98140997,0.0,0.0,0.0,0.0,0.0,0.0
2880954387,0,0.020177182,-0.98172736,0.0,0.0,0.0,0.0,0.0,0.0
2881054879,0,0.023923412,-0.98032504,0.0,0.0,0.0,0.0,0.0,0.0
2881204468,0,0.02335577,-0.9758937,0.0,0.0,0.0,0.0,0.0,0.0
2881254386,0,0.022084739,-0.9728631,0.0,0.0,0.0,0.0,0.0,0.0
2881404384,0,0.016380493,-0.9690261,0.0,0.0,0.0,0.0,0.0,0.0
2881454883,0,0.017106121,-0.97156394,0.0,0.0,0.0,0.0,0.0,0.0
2881554386,0,0.019436844,-0.97717994,0.0,0.0,0.0,0.0,0.0,0.0
2881654417,0,0.016973516,-0.97934884,0.0,0.0,0.0,0.0,0.0,0.0
2881804386,0,0.010754148,-0.978625,0.0,0.0,0.0,0.0,0.0,0.0
2881904385,0,0.0112006515,-0.9743133,0.0,0.0,0.0,0.0,0.0,0.0
2881954410,0,0.009409797,-0.9755447,0.0,0.0,0.0,0.0,0.0,0.0
2882104386,0,0.005793637,-0.97453135,0.0,0.0,0.0,0.0,0.0,0.0
2882154389,0,0.0032518883,-0.97036505,0.0,0.0,0.0,0.0,0.0,0.0
2882304386,0,-0.004749446,-0.9732531,0.0,0.0,0.0,0.0,0.0,0.0
2882354442,0,-0.008757831,-0.9787478,0.0,0.0,0.0,0.0,0.0,0.0
2882504386,0,-0.008512528,-0.9849021,0.0,0.0,0.0,0.0,0.0,0.0
2882554476,0,-0.008155775,-0.9839062,0.0,0.0,0.0,0.0,0.0,0.0
2882654418,0,-0.015960583,-0.9861585,0.0,0.0,0.0,0.0,0.0,0.0
2882804396,0,-0.021190407,-0.9948301,0.0,0.0,0.0,0.0,0.0,0.0
2882854412,0,-0.021283243,-0.997248,0.0,0.0,0.0,0.0,0.0,0.0
2883004387,0,-0.02220972,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2883054387,0,-0.023419814,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2883204387,0,-0.018582404,-1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
2883305040,0,-0.011806599,-0.9979494,0.0,0.0,0.0,0.0,0.0,0.0
2883354386,0,-0.010352758,-0.9971158,0.0,0.0,0.0,0.0,0.0,0.0
2883504384,0,-0.01143894,-0.991546,0.0,0.0,0.0,0.0,0.0,0.0
2883555791,0,-0.014435542,-0.9907493,0.0,0.0,0.0,0.0,0.0,0.0
2883654572,0,-0.015493039,-0.9865738,0.0,0.0,0.0,0.0,0.0,0.0
2883754569,0,-0.015071839,-0.9784751,0.0,0.0,0.0,0.0,0.0,0.0
2883904393,0,-0.0076621575,-0.9802771,0.0,0.0,0.0,0.0,0.0,0.0
2883954496,0,-0.005047362,-0.9838416,0.0,0.0,0.0,0.0,0.0,0.0
2884054455,0,-0.0019126902,-0.9822969,0.0,0.0,0.0,0.0,0.0,0.0
2884204385,0,-0.010482565,-0.9752176,0.0,0.0,0.0,0.0,0.0,0.0
2884254386,0,-0.0128495395,-0.97530234,0.0,0.0,0.0,0.0,0.0,0.0
2884404384,0,-0.005491353,-0.972269,0.0,0.0,0.0,0.0,0.0,0.0
2884454386,0,-0.0033926773,-0.9715888,0.0,0.0,0.0,0.0,0.0,0.0
2884554385,0,0.0011494862,-0.9729396,0.0,0.0,0.0,0.0,0.0,0.0
2884704385,0,0.008136472,-0.9757828,0.0,0.0,0.0,0.0,0.0,0.0
2884754388,0,0.007631577,-0.97576785,0.0,0.0,0.0,0.0,0.0,0.0
2884904549,0,-0.0010931647,-0.9777996,0.0,0.0,0.0,0.0,0.0,0.0
2884954971,0,-0.00362928,-0.9788752,0.0,0.0,0.0,0.0,0.0,0.0
2885104385,0,-0.0056385966,-0.97598076,0.0,0.0,0.0,0.0,0.0,0.0
2885154453,0,-0.005948687,-0.9748155,0.0,0.0,0.0,0.0,0.0,0.0
2885254386,0,-0.0041607236,-0.9765544,0.0,0.0,0.0,0.0,0.0,0.0
2885405750,0,-0.005168828,-0.9699956,0.0,0.0,0.0,0.0,0.0,0.0
2885454387,0,-0.0057553607,-0.96566236,0.0,0.0,0.0,0.0,0.0,0.0
2885604385,0,0.005659339,-0.9587543,0.0,0.0,0.0,0.0,0.0,0.0
2885655019,0,0.0074781426,-0.95881814,0.0,0.0,0.0,0.0,0.0,0.0
2885754574,0,0.0089280065,-0.9617545,0.0,0.0,0.0,0.0,0.0,0.0
2885854508,0,0.0055873943,-0.9655513,0.0,0.0,0.0,0.0,0.0,0.0
