timestamp,load,ram_usage
2873589463,0.80488527,0.8761847
2874089210,0.7948628,0.8761847
2874589330,0.74023724,0.8761847
2875089214,0.74496794,0.8761847
2875589389,0.7456913,0.8761847
2876090308,0.7480322,0.8761847
2876589292,0.7417103,0.8761847
2877090186,0.75110406,0.8761847
2877589209,0.741471,0.8761847
2878089813,0.75437975,0.8761847
2878589213,0.73949444,0.8761847
2879089543,0.7534025,0.8761847
2879589550,0.7400961,0.8761847
2880089304,0.7488506,0.8761847
2880589395,0.74244857,0.8761847
2881089519,0.75093687,0.8761847
2881589470,0.7407818,0.8761847
2882089272,0.7473615,0.8761847
2882591176,0.7479011,0.8761847
2883089476,0.74131846,0.8761847
2883589240,0.750373,0.8761847
2884089552,0.7452864,0.8761847
2884589232,0.7412341,0.8761847
2885089216,0.74754053,0.8761847
2885589211,0.74806345,0.8761847
2886091264,0.7572557,0.8761847
2886589246,0.7551031,0.8761847
2887092442,0.7524146,0.8761847
2887589504,0.75501573,0.8761847
2888089213,0.764124,0.8761847
2888594056,0.75732994,0.8761847
2889089211,0.764897,0.8761847
2889592345,0.7596191,0.8761847
2890089236,0.76661646,0.8761847
2890589208,0.748088,0.8761847
2891089458,0.76568925,0.8761847
2891589215,0.7510065,0.8761847
2892089882,0.76479954,0.8761847
2892589282,0.75955504,0.8761847
2893089257,0.74971807,0.8761847
2893589549,0.7421472,0.8761847
2894089209,0.749048,0.8761847
2894589252,0.7467173,0.8761847
2895089281,0.74733496,0.8761847
2895589949,0.7439606,0.8761847
2896089253,0.7484939,0.8761847
2896590772,0.743889,0.8761847
2897089451,0.7459053,0.8761847
2897589840,0.7412818,0.8761847
2898089214,0.7518822,0.8761847
2898589211,0.74347955,0.8761847
2899089429,0.7649802,0.8761847
2899589211,0.754357,0.8761847
2900094154,0.76295155,0.8761847
2900591513,0.74981755,0.8761847
2901089214,0.75480664,0.8761847
2901591507,0.75862104,0.8761847
2902089245,0.7666746,0.8761847
2902589314,0.753398,0.8761847
2903090044,0.7596334,0.8761847
2903593887,0.75744045,0.8761847
2904089490,0.7553273,0.8761847
2904591401,0.76404804,0.8761847
2905089309,0.758445,0.8761847
2905589303,0.738387,0.8761847
2906089244,0.72871286,0.8761847
2906589214,0.719756,0.8761847
2907089510,0.7303859,0.8761847
2907589346,0.7191886,0.8761847
2908089318,0.75080574,0.8761847
2908589210,0.7265655,0.8761847
2909089210,0.741996,0.8761847
2909589328,0.7264105,0.8761847
2910089211,0.746127,0.8761847
2910589209,0.72633004,0.8761847
