timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
2872110853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,0,2,0,0,1
2898100177,0.0,0.0,209.0,4.0,9.0,0.0,0.0,176,1,0,255,190,1,1
