timestamp,line_length,speed,tension,voltage,current,status,temperature
2873927866,0.0734085,0.0,0.0,44.85132,0.0,2,0
2874054867,0.0734085,0.0,0.0,44.805397,0.0,2,0
2874183616,0.0734085,0.0,0.0,44.744167,0.0,2,0
2874326621,0.0734085,0.0,0.0,44.682934,0.0,2,0
2874470350,0.0734085,0.0,0.0,44.621704,0.0,2,0
2874597859,0.0734085,0.0,0.0,44.529858,0.0,2,0
2874741552,0.0734085,0.0,0.0,44.39209,0.0,2,0
2874885234,0.0734085,0.0,0.0,44.31555,0.0,2,0
2875013931,0.0734085,0.0,0.0,44.361477,0.0,2,0
2875141863,0.0734085,0.0,0.0,44.31555,0.0,2,0
2875284914,0.0734085,0.0,0.0,44.4074,0.0,2,0
2875428853,0.0734085,0.0,0.0,44.4074,0.0,2,0
2875556025,0.0734085,0.0,0.0,44.45332,0.0,2,0
2875684093,0.0734085,0.0,0.0,44.438015,0.0,2,0
2875827865,0.0734085,0.0,0.0,44.422707,0.0,2,0
2875971924,0.0734085,0.0,0.0,44.438015,0.0,2,0
2876098873,0.0734085,0.0,0.0,44.422707,0.0,2,0
2876226870,0.0734085,0.0,0.0,44.26963,0.0,2,0
2876370690,0.0734085,0.0,0.0,44.34617,0.0,2,0
2876497885,0.0734085,0.0,0.0,44.468628,0.0,2,0
2876625868,0.0734085,0.0,0.0,44.37678,0.0,2,0
2876771231,0.0734085,0.0,0.0,44.26963,0.0,2,0
2876912854,0.0734085,0.0,0.0,44.39209,0.0,2,0
2877040865,0.0734085,0.0,0.0,44.560474,0.0,2,0
2877169932,0.0734085,0.0,0.0,44.682934,0.0,2,0
2877312948,0.0734085,0.0,0.0,44.560474,0.0,2,0
2877440578,0.0734085,0.0,0.0,44.37678,0.0,2,0
2877567972,0.0734085,0.0,0.0,44.468628,0.0,2,0
2877715546,0.0734085,0.0,0.0,44.560474,0.0,2,0
2877855749,0.0734085,0.0,0.0,44.483936,0.0,2,0
2877985159,0.0734085,0.0,0.0,44.147167,0.0,2,0
2878110921,0.0734085,0.0,0.0,44.31555,0.0,2,0
2878254865,0.0734085,0.0,0.0,44.438015,0.0,2,0
2878398857,0.0734085,0.0,0.0,44.300243,0.0,2,0
2878525867,0.0734085,0.0,0.0,44.39209,0.0,2,0
2878653860,0.0734085,0.0,0.0,44.499245,0.0,2,0
2878797269,0.0734085,0.0,0.0,44.37678,0.0,2,0
2878941067,0.0734085,0.0,0.0,44.31555,0.0,2,0
2879068861,0.0734085,0.0,0.0,44.37678,0.0,2,0
2879198571,0.0734085,0.0,0.0,44.31555,0.0,2,0
2879340852,0.0734085,0.0,0.0,44.37678,0.0,2,0
2879468857,0.0734085,0.0,0.0,44.606396,0.0,2,0
2879595854,0.0734085,0.0,0.0,44.2084,0.0,2,0
2879723857,0.0734085,0.0,0.0,44.33086,0.0,2,0
2879867938,0.0734085,0.0,0.0,44.39209,0.0,2,0
