timestamp,main_state_changes,main_state
2873623994,20,2
2874129238,20,2
2874635027,20,2
2875141150,20,2
2875641944,20,2
2876142352,20,2
2876643462,20,2
2877146932,20,2
2877651168,20,2
2878159165,20,2
2878665280,20,2
2879167318,20,2
2879668677,20,2
2880171247,20,2
2880678965,20,2
2881191075,20,2
2881699591,20,2
2882204307,20,2
2882706045,20,2
2883209920,20,2
2883712461,20,2
2884216311,20,2
2884718978,20,2
2885222099,20,2
2885722256,20,2
2886228687,20,2
2886731196,20,2
2887234921,20,2
2887739989,20,2
2888244060,20,2
2888751528,20,2
2889259777,20,2
2889766083,20,2
2890274080,20,2
2890783818,20,2
2891288441,20,2
2891795791,20,2
2892305307,20,2
2892807398,20,2
2893311076,20,2
2893819736,20,2
2894328980,20,2
2894834212,20,2
2895335069,20,2
2895841267,20,2
2896347059,20,2
2896853202,20,2
2897363117,20,2
2897869018,20,2
2898102417,21,13
2898607024,21,13
2899112436,21,13
2899618082,21,13
2900120715,21,13
2900626098,21,13
2901128125,21,13
2901634924,21,13
2902145025,21,13
2902647599,21,13
2903152054,21,13
2903653935,21,13
2904156111,21,13
2904664047,21,13
2905170223,21,13
2905672018,21,13
2906173226,21,13
2906676796,21,13
2907178081,21,13
2907686307,21,13
2908189374,21,13
2908698682,21,13
2909202324,21,13
2909713342,21,13
2910224011,21,13
2910670447,21,13
2910685058,21,13
