timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
2874002198,0.12235599,0.3260247,nan,0.27205163,0.0,0.009673884,0.0037008016,0.480843,0.071460836,0.0074281637,5.1143694,0.0,0.0,0.0,0.0017428886,0.00018116862,-0.23923974
2874015672,0.12235599,0.3260247,nan,0.272299,0.0,0.010228528,0.003412923,0.45650128,0.087078005,0.043689158,5.038164,0.0,0.0,0.0,0.002159043,0.0010832447,-0.24312513
2874092992,0.12235599,0.3260247,nan,0.27198395,0.0,0.015957404,-0.0007627875,0.31622097,0.15018848,0.014598287,4.520847,0.0,0.0,0.0,0.004126599,0.0004011045,-0.26950097
2874201588,0.12235599,0.3260247,nan,0.2720303,0.0,0.025385581,-0.009990981,0.11839255,0.1810012,-0.0067482963,3.7930796,0.0,0.0,0.0,0.0056591295,-0.00021099021,-0.30660677
2874301916,0.12235599,0.3260247,nan,0.2718588,0.0,0.03361524,-0.020049203,-0.063916534,0.15616168,-0.052990057,3.0767834,0.0,0.0,0.0,0.00546448,-0.0018542517,-0.3431277
2874401347,0.12235599,0.3260247,nan,0.2703245,0.0,0.0397334,-0.027540188,-0.2446152,0.12712152,-0.124526575,2.363357,0.0,0.0,0.0,0.004919855,-0.0048194253,-0.37950233
2874504944,0.12235599,0.3260247,nan,0.268505,0.0,0.042787783,-0.032687094,-0.4325138,0.16824174,-0.005894959,1.5585383,0.0,0.0,0.0,0.007214013,-0.00025276904,-0.42053667
2874600258,0.12235599,0.3260247,nan,0.26505455,0.0,0.043013405,-0.034991,-0.6060715,0.07327673,-0.09476067,0.7799187,0.0,0.0,0.0,0.0034396613,-0.004448133,-0.4602352
2874699069,0.12235599,0.3260247,nan,0.2616806,0.0,0.039669562,-0.035236437,-0.7870015,0.016500395,-0.05344813,0.17015886,0.0,0.0,0.0,0.0008252907,-0.0026732844,-0.4913243
2874799644,0.12235599,0.3260247,nan,0.25396588,0.0,0.03355418,-0.033086833,-0.9697847,-0.066647254,-0.008683163,-0.37306976,0.0,0.0,0.0,-0.0035272886,-0.0004595541,-0.5190213
2874902964,0.12235599,0.3260247,nan,0.24417809,0.0,0.023944844,-0.028242955,-1.1576035,-0.14191216,0.0783042,-0.7367046,0.0,0.0,0.0,-0.007777319,0.004291364,-0.5375615
2875003592,0.12235599,0.3260247,nan,0.23455232,0.0,0.01192021,-0.0191087,-1.3404709,-0.13657948,0.26406205,-0.79529405,0.0,0.0,0.0,-0.0075283423,0.014555257,-0.5405487
2875093870,0.12235599,0.3260247,nan,0.2263236,0.0,0.00086527056,-0.0075507523,-1.5,-0.28883925,0.3515858,-0.8942604,0.0,0.0,0.0,-0.016069917,0.019560896,-0.5455946
2875192936,0.12235599,0.3260247,nan,0.21833825,0.0,-0.011760218,0.0070063365,-1.5,-0.30789122,0.40811378,-0.42151666,0.0,0.0,0.0,-0.016372602,0.021702096,-0.52149135
2875297347,0.12235599,0.3260247,nan,0.21195365,0.0,-0.025518548,0.02238012,-1.5,-0.27799216,0.37383145,-0.2146523,0.0,0.0,0.0,-0.014484375,0.019477941,-0.51094425
2875401015,0.12235599,0.3260247,nan,0.20660065,0.0,-0.038808312,0.03489717,-1.5,-0.33125812,0.45001334,-0.25240505,0.0,0.0,0.0,-0.017324548,0.023535356,-0.51286906
2875501089,0.12235599,0.3260247,nan,0.20281342,0.0,-0.052629057,0.047387242,-1.5,-0.2679726,0.34293154,-0.122410655,0.0,0.0,0.0,-0.013834048,0.017703794,-0.5062412
2875597581,0.12235599,0.3260247,nan,0.20067379,0.0,-0.0657164,0.058901533,-1.5,-0.35678005,0.39020225,-0.09089339,0.0,0.0,0.0,-0.018359654,0.020079536,-0.50463426
2875700441,0.12235599,0.3260247,nan,0.19989377,0.0,-0.08079104,0.07329628,-1.5,-0.36852488,0.49708393,-0.07222605,0.0,0.0,0.0,-0.018928237,0.025531309,-0.5036825
2875800783,0.12235599,0.3260247,nan,0.20093808,0.0,-0.09491995,0.09083787,-1.5,-0.32991093,0.60228926,-0.05412972,0.0,0.0,0.0,-0.016913872,0.030878164,-0.5027599
2875904429,0.12235599,0.3260247,nan,0.20332031,0.0,-0.107730485,0.1113728,-1.5,-0.4322292,0.52233016,-0.10091412,0.0,0.0,0.0,-0.022264445,0.026905613,-0.5051452
2876003199,0.12235599,0.3260247,nan,0.2067709,0.0,-0.120500766,0.13316312,-1.5,-0.45141137,0.5126844,-0.22070968,0.0,0.0,0.0,-0.023533301,0.026727628,-0.51125306
2876101951,0.12235599,0.3260247,nan,0.21056673,0.0,-0.1334729,0.15347236,-1.5,-0.40137374,0.5686002,-0.31576943,0.0,0.0,0.0,-0.021123258,0.029923948,-0.51609975
2876197902,0.12235599,0.3260247,nan,0.21446991,0.0,-0.14611097,0.16987564,-1.5,-0.4760658,0.5542753,-0.33271432,0.0,0.0,0.0,-0.025095906,0.029218737,-0.5169637
2876297091,0.12235599,0.3260247,nan,0.21821381,0.0,-0.1582626,0.18025635,-1.5,-0.57991564,0.40846714,-0.35702884,0.0,0.0,0.0,-0.030644154,0.021584397,-0.5182034
2876403567,0.12235599,0.3260247,nan,0.21762352,0.0,-0.17345329,0.18514387,-1.5,-0.68554676,0.35392728,-0.366145,0.0,0.0,0.0,-0.03625824,0.018719044,-0.5186682
2876502755,0.12235599,0.3260247,nan,0.2272089,0.0,-0.18663228,0.1853389,-1.5,-0.5752612,0.37583143,-0.35487342,0.0,0.0,0.0,-0.030391859,0.019855704,-0.5180935
2876592734,0.12235599,0.3260247,nan,0.23279463,0.0,-0.19663328,0.18296432,-1.5,-0.55143654,0.2897732,-0.45288646,0.0,0.0,0.0,-0.029413752,0.015456569,-0.5230908
2876701836,0.12235599,0.3260247,nan,0.23667824,0.0,-0.20351103,0.17885496,-1.5,-0.38144988,0.38270465,-0.29701984,0.0,0.0,0.0,-0.020037815,0.020103728,-0.5151438
2876796229,0.12235599,0.3260247,nan,0.23935378,0.0,-0.20494731,0.17465696,-1.5,-0.40688363,0.36126375,-0.13645941,0.0,0.0,0.0,-0.021033835,0.018675517,-0.5069575
2876899417,0.12235599,0.3260247,nan,0.24207407,0.0,-0.20311834,0.1685882,-1.5,-0.36708012,0.3647227,-0.10798526,0.0,0.0,0.0,-0.018921956,0.018800437,-0.50550574
2876996887,0.12235599,0.3260247,nan,0.24578445,0.0,-0.20096605,0.1620412,-1.4722844,-0.32026005,0.36145625,0.61841995,0.0,0.0,0.0,-0.015299086,0.017267063,-0.46846935
