timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
2874634756,2874633862,0.9908522,0.018042488,-0.0050603454,0.13364439,-0.0050411746,-0.0053657675,-0.02744373,0.0881109,0.36225203,-0.17835338,-3.1749e-05,-1.9013936e-05,1.1647149e-05,-0.00048330068,-0.00016265285,2.5610869e-05,0.2040445,-0.03994905,0.45378652,0.03151322,0.0069357255,-0.012525029,0.0,0.0,1.6137521e-06,2.2733998e-06,2.290685e-06,6.5143446e-05,0.0020758265,0.0020814266,0.0060904953,0.00496926,0.0049748668,0.027917448,1.8152547e-11,1.8182053e-11,3.9556983e-11,5.000045e-08,5.000045e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2875640706,2875635141,0.99480474,0.008196904,0.008204465,0.10113955,0.12714309,-0.15010852,-1.0149974,0.19551449,0.2716965,-0.7171146,-3.195558e-05,-1.846318e-05,1.1374793e-05,-0.0005233571,-0.0001787592,2.4581077e-05,0.2040445,-0.03994905,0.45378652,0.03151322,0.0069357255,-0.012525029,0.0,0.0,1.11156e-06,2.4405863e-06,2.4432106e-06,6.541362e-05,0.002474371,0.0024742938,0.0061219656,0.0056297895,0.0056342483,0.028103836,1.8330634e-11,1.8372677e-11,3.9487923e-11,5.000034e-08,5.0000356e-08,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2876641997,2876640918,0.9932819,0.02235583,0.021326166,0.11151921,0.077117555,0.03174957,-1.1516563,0.33380413,0.12747967,-1.8120055,-3.1336585e-05,-1.7822758e-05,1.1273942e-05,-0.00057117804,-0.00013667633,1.738129e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,1.7939996e-05,3.456354e-06,3.522312e-06,0.0014045611,0.0027191052,0.0026508826,0.006129547,0.0066535496,0.0066564404,0.028132932,1.8734762e-11,1.877574e-11,3.9833803e-11,5.000033e-08,5.0000526e-08,5.000054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2877644797,2877639199,0.99052554,0.014574381,0.0166525,0.13553438,-0.038285818,0.08751058,-0.24957322,0.33470055,0.23796983,-2.78595,-3.1437427e-05,-1.7579574e-05,1.1316103e-05,-0.00063389074,-0.00016925593,4.3880896e-06,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,1.19747965e-05,3.2983335e-06,3.2455087e-06,0.00060838665,0.0031231982,0.0031315172,0.0061266418,0.007680641,0.0076819346,0.028125312,1.9619766e-11,1.966027e-11,4.0829368e-11,5e-08,5e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2878644689,2878639026,0.99079484,0.0033838348,0.015178291,0.13447586,-0.14829887,0.14141728,-0.012355472,0.25027022,0.42810833,-2.7234778,-3.161903e-05,-1.7526352e-05,1.1297699e-05,-0.000665033,-0.00023483693,-1.6347036e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,7.4539735e-06,3.3382314e-06,3.2752507e-06,0.00039216602,0.0035627526,0.0035737026,0.0061231144,0.008475352,0.008476866,0.028110167,2.0586581e-11,2.0626376e-11,4.18248e-11,5e-08,5e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2879647019,2879646255,0.99149805,0.0012107647,-0.004161189,0.13004975,-0.11669452,-0.080002435,0.039079178,0.0768751,0.50079006,-2.7263896,-3.1779076e-05,-1.7552467e-05,1.1249214e-05,-0.0006625321,-0.00026166535,-2.1488962e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,5.0470558e-06,3.3844196e-06,3.364573e-06,0.00028892446,0.003617943,0.0035813246,0.0061442046,0.009000756,0.009001803,0.028246535,2.1511223e-11,2.1549838e-11,4.282394e-11,5.000028e-08,5.000009e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2880645456,2880644536,0.9912263,-0.0037479997,0.003043393,0.13208766,0.038335502,-0.002206848,-0.046689734,0.015541802,0.454411,-2.7550595,-3.1733383e-05,-1.7828686e-05,1.1225741e-05,-0.00064218586,-0.00026352273,-2.1277228e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,4.13865e-06,3.5351793e-06,3.534653e-06,0.00022820095,0.0034616299,0.0034856333,0.006135971,0.009223256,0.009223291,0.028202994,2.2275022e-11,2.2313896e-11,4.3803468e-11,5.000044e-08,5.000019e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2881634774,2881633825,0.9911358,-0.008565696,0.0082048,0.13232279,0.055751666,-0.065675616,-0.038957484,0.058554523,0.40804797,-2.7741897,-3.1501822e-05,-1.7970118e-05,1.1211184e-05,-0.00063656364,-0.00025656208,-2.9958292e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,3.5180087e-06,3.757736e-06,3.7425752e-06,0.00019110249,0.0033450434,0.0033492544,0.006080277,0.009224896,0.009225103,0.027862353,2.2782816e-11,2.2819085e-11,4.4755127e-11,5.0000178e-08,5.0000178e-08,5.0000303e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2882648111,2882642598,0.9910726,0.0020647394,0.0063533145,0.13315566,0.0011444177,-0.09511217,0.057403207,0.074308716,0.2986646,-2.7707944,-3.1455682e-05,-1.817217e-05,1.1176983e-05,-0.0006333504,-0.00025653274,-2.9267512e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,3.06476e-06,3.9797687e-06,3.9726997e-06,0.00016278982,0.0033556626,0.003355341,0.0061457837,0.009398688,0.009398796,0.028225219,2.3042283e-11,2.307654e-11,4.5731658e-11,5.000036e-08,5.0000295e-08,5.0000512e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2883644844,2883643877,0.9914051,0.00464027,0.0042762235,0.13067594,0.079818875,0.01682439,0.0083191935,0.08556007,0.24719745,-2.7704508,-3.10787e-05,-1.8425651e-05,1.1163585e-05,-0.00063224847,-0.0002566529,-2.3140463e-05,0.2373093,-0.0451399,0.4334001,0.03151322,0.0069357255,-0.012525029,0.0,0.0,2.6453424e-06,4.122867e-06,4.1220524e-06,0.0001430005,0.0033610142,0.0033548952,0.0061226157,0.009364088,0.009364122,0.028076997,2.2997798e-11,2.3026574e-11,4.6661234e-11,5.0000473e-08,5.0000434e-08,5.0000533e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
