timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
2874002940,-0.017202996,0.0018846451,6.383489e-06,0.0
2874005926,-0.017345522,0.0018669697,8.411572e-06,0.0
2874205308,-0.02999723,0.0010477297,2.5395037e-05,0.0
2874404676,-0.04383304,0.0012133763,0.0005261016,0.0
2874603986,-0.05473739,0.006622303,0.0022564018,0.0
2874804871,-0.040799525,0.014412507,0.005944802,0.0
2875004254,-0.008975238,0.012589382,0.012321848,0.0
2875203565,0.0030195292,0.010200865,0.017886648,0.0
2875402928,0.0006497246,0.01175983,0.021878207,0.0
2875605277,0.0065791286,0.012455898,0.023941211,0.0
2875804631,0.018089551,0.011747012,0.023919972,0.0
2876004008,0.019913763,0.013785223,0.021818303,0.0
2876204839,0.0130008785,0.02245723,0.018616471,0.0
2876402691,0.006722711,0.03170649,0.014758664,0.0
2876603549,0.013951598,0.02004279,0.011134005,0.0
2876805948,0.021090968,0.01618167,0.007979684,0.0
2877005308,0.024414968,0.020809365,0.004924258,0.0
2877204618,0.025022171,0.02548687,0.000733907,0.0
2877403980,0.028167294,0.029540362,-0.0031525977,0.0
2877603328,0.03022206,0.029138515,-0.008291258,0.0
2877802687,0.036548316,0.030398667,-0.013655365,0.0
2878003563,0.034556117,0.031854577,-0.016575059,0.0
2878202908,0.027313728,0.030768104,-0.017716594,0.0
2878405256,0.020057594,0.029898705,-0.018318947,0.0
2878604612,0.016196368,0.0306432,-0.01960403,0.0
2878805483,0.016701758,0.027480548,-0.021375924,0.0
2879004866,0.020644318,0.022355566,-0.021644589,0.0
2879204176,0.020485185,0.021272736,-0.019481868,0.0
2879405033,0.016696025,0.019119434,-0.016073339,0.0
2879602894,0.009837198,0.030425053,-0.013242845,0.0
2879806794,0.0028190997,0.031591754,-0.010566642,0.0
2880004603,-0.004550812,0.034243185,-0.009373694,0.0
2880205509,-0.010418929,0.031145629,-0.009514806,0.0
2880403321,-0.019097421,0.03164915,-0.009741897,0.0
2880604231,-0.020327682,0.035992,-0.009488308,0.0
2880803527,-0.022463674,0.032707904,-0.007970449,0.0
2881005934,-0.022236463,0.03342906,-0.00548718,0.0
2881205245,-0.020246407,0.031687714,-0.0035538864,0.0
2881404647,-0.020982496,0.026458515,-0.0029408142,0.0
2881603953,-0.016324786,0.027556485,-0.0038541313,0.0
2881803314,-0.015228043,0.026580963,-0.005542841,0.0
2882004229,-0.010486693,0.023263326,-0.006856932,0.0
2882203589,-0.006584015,0.015222663,-0.0074888235,0.0
2882402932,-0.005967264,0.015628096,-0.007922912,0.0
2882603778,-0.0013954359,0.011856279,-0.009238623,0.0
2882804618,-0.0027420693,0.013301187,-0.010810806,0.0
2883003943,-0.0029743614,0.0167903,-0.011953323,0.0
2883204851,-0.0036175933,0.018785223,-0.012292819,0.0
2883405700,-0.00080772326,0.019455688,-0.011854321,0.0
2883603557,-0.001357371,0.020651903,-0.010360507,0.0
2883804369,-0.001546075,0.016738491,-0.008391971,0.0
2884005297,0.0035118125,0.021561753,-0.0062437975,0.0
2884204573,0.0011914162,0.01934183,-0.0041460358,0.0
2884403962,0.001312652,0.01858254,-0.0034429333,0.0
2884603298,0.0036417337,0.019315636,-0.0046188054,0.0
2884804146,0.005854546,0.0211907,-0.007062307,0.0
2885003646,0.0035095755,0.02469268,-0.009149842,0.0
2885205937,0.003138559,0.02681794,-0.01016553,0.0
2885405214,0.0020039962,0.029409235,-0.010029241,0.0
2885604571,0.006141578,0.02688128,-0.013675153,0.0
2885805438,0.0133751985,0.029830739,-0.03126539,0.0
2886004788,0.015468083,0.032810748,-0.04324505,0.0
2886204170,0.012504636,0.036260534,-0.046554744,0.0
2886403547,0.0024139439,0.0372228,-0.045396496,0.0
2886607344,-0.0024703639,0.033417035,-0.041821964,0.0
2886805208,-0.0054835384,0.03745524,-0.03632997,0.0
2887004564,-0.012084793,0.041365452,-0.029858846,0.0
2887203932,-0.020744683,0.039938405,-0.024027351,0.0
2887404871,-0.021704953,0.035022266,-0.019505406,0.0
2887604130,-0.017704055,0.042445485,-0.015911419,0.0
2887803519,-0.021168089,0.05070579,-0.014665328,0.0
2888005857,-0.030973146,0.048939086,-0.0145653235,0.0
2888205217,-0.04158793,0.046674233,-0.01401533,0.0
2888406083,-0.045970596,0.042481948,-0.012871938,0.0
2888603938,-0.052859668,0.036418214,-0.011134135,0.0
2888803273,-0.055270486,0.022617625,-0.009945572,0.0
2889002622,-0.060543828,0.015600902,-0.008206429,0.0
2889203564,-0.06293484,0.008887588,-0.0068708737,0.0
2889402847,-0.06555744,0.00018429053,-0.006889377,0.0
2889605213,-0.061361767,-0.0077283704,-0.0074321763,0.0
2889804544,-0.05989496,-0.009855501,-0.0060235327,0.0
2890005408,-0.05393261,-0.0073863952,-0.004421113,0.0
2890204775,-0.04919675,-0.013991639,0.0043747965,0.0
2890404183,-0.050404824,-0.009756109,0.01634533,0.0
2890603551,-0.04764246,-0.0071284897,0.024394864,0.0
2890802925,-0.03976345,-0.0133058205,0.024837151,0.0
2891003686,-0.03602547,-0.01621006,0.01979154,0.0
2891206049,-0.03695091,-0.013122331,0.012739199,0.0
2891403895,-0.037178032,-0.018017076,0.0077618677,0.0
2891606269,-0.03162246,-0.030818872,0.004770844,0.0
2891804107,-0.024410734,-0.04652669,-8.906071e-05,0.0
2892003520,-0.019982291,-0.053253923,-0.0077857515,0.0
2892205817,-0.02409861,-0.059131775,-0.016244616,0.0
2892405193,-0.028661588,-0.06293359,-0.022405874,0.0
2892604534,-0.023905128,-0.06082724,-0.02500202,0.0
2892803943,-0.017423436,-0.061179187,-0.024727153,0.0
2893004769,-0.011927223,-0.06722195,-0.022729775,0.0
