timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2876796364,2876795353,3.0322101e-07,0.0005570163,0.019875366,0.0035454708,0.0031811767,0.0026373437,8390807,0,0.115648754,0.16558425,0.0245463,0.07724283,0.023178754,0.0067507112,0.0,0.010869117,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2876996990,2876996161,2.9478818e-07,0.0005481355,0.020391047,0.0029625555,0.0052494295,0.0055621983,8390807,0,0.11740908,0.16557932,0.023597026,0.036094215,0.026497772,0.0052562957,0.0,0.0012092419,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2877205381,2877204512,2.9648632e-07,0.00062680076,0.022352196,0.0010231227,0.010485799,0.013286448,8390807,0,0.11948579,0.16607752,0.027519612,0.07859064,0.031834282,0.0070564235,0.0,0.030798329,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2877401823,2877400870,2.4431932e-07,0.00058688526,0.020562189,0.0006672862,0.011852733,0.016844701,8390807,0,0.120739296,0.16557178,0.003701337,0.044097323,0.034328576,0.0071952944,0.0,0.005691427,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2877592966,2877591233,2.2869817e-07,0.0005649954,0.019885544,0.0004419177,0.016128715,0.02307096,8390807,0,0.121894516,0.16503924,0.009726943,0.07506738,0.038902633,0.010269504,0.0,0.00050978473,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2877800458,2877799630,2.1406116e-07,0.0005906834,0.020049859,0.0003732746,0.015428458,0.023335848,8390807,0,0.12374913,0.16556334,0.019642826,0.041806087,0.03523331,0.012664976,0.0,0.00833096,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2877998448,2877997441,1.820977e-07,0.00060049264,0.020800415,0.00045349778,0.016430037,0.024586849,8390807,0,0.12509982,0.16555959,0.03136334,0.048718583,0.038375214,0.010416392,0.0,0.0089254845,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2878200704,2878195299,1.8454912e-07,0.00067804276,0.022449158,0.0019143308,0.016064135,0.024161756,8390807,0,0.12633047,0.16555615,0.012843323,0.049978387,0.036366336,0.011365062,0.0,0.004876413,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2878405138,2878399198,2.3727115e-07,0.00085033115,0.028216628,0.0026881397,0.010972649,0.018444702,8390807,0,0.12809666,0.16552445,0.03436536,0.01715625,0.033386443,0.011684783,0.0,0.0047632568,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2878601006,2878600007,1.5288991e-07,0.00063832966,0.023006016,0.0017664172,0.008852549,0.015458623,8390807,0,0.12842996,0.16552362,0.02647703,0.017943151,0.031624917,0.010597112,0.0,0.003665089,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2878805022,2878803908,1.7011544e-07,0.0006480897,0.023648543,0.0006766414,0.006023071,0.010852688,8390807,0,0.12978993,0.16608226,0.014703965,0.01155919,0.028094685,0.011355007,0.0,0.0034515099,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2879004276,2879003217,1.6967603e-07,0.00062355853,0.022335237,0.0004434452,0.00875325,0.011701674,8390807,0,0.13056186,0.16602337,0.0050705373,0.02639384,0.025710179,0.010454595,0.0,0.009467613,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2879198031,2879196578,1.5621974e-07,0.00056135125,0.020610863,0.001315573,0.010066383,0.012622241,8390807,0,0.13152868,0.16546647,0.05171106,0.008745412,0.02292392,0.009877228,0.0,0.028575491,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2879404923,2879398932,1.7058326e-07,0.0005689251,0.022361897,0.0017072301,0.0105198715,0.013666336,8390807,0,0.13138339,0.16541436,0.031166425,0.012313142,0.020255726,0.009361442,0.0,0.0062424387,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
