timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
2874244025,2880.0,0.9043701,1877.7705,0.0,147332,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875747992,2880.0,0.9043701,1865.6624,0.0,147413,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2876499198,2880.0,0.9043701,1866.588,0.0,147446,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877256194,2880.0,0.9043701,1878.6798,0.0,147490,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2878764545,2880.0,0.9043701,1663.0839,0.0,147557,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2879518039,2880.0,0.9043701,2008.996,0.0,147604,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880268932,2880.0,0.9043701,1398.1101,0.0,147644,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881781166,2880.0,0.9043701,1764.338,0.0,147718,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882532282,2880.0,0.9043701,2026.5476,0.0,147759,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883287659,2880.0,0.9043701,1723.0256,0.0,147803,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884798031,2880.0,0.9043701,1930.772,0.0,147872,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
