timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
2882684967,2882683069,0.09336998,0.093369514,0.2087792,0.25943837,0.25943848,0.59104174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09465771,0.09465752,nan,0.0,0.0,0.09066171,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.0469366
2883190731,2883189705,0.09343359,0.09342655,0.20874856,0.2594402,0.25944027,0.5908695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09370969,0.09370444,nan,0.0,0.0,0.09061872,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.048924915
2883689269,2883682896,0.09337384,0.09336855,0.20875575,0.25940558,0.2594056,0.59089404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09456778,0.09455978,nan,0.0,0.0,0.090580836,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.049425744
2884178501,2884177543,0.09339983,0.093394645,0.20879307,0.25947362,0.2594736,0.5910922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.094383664,0.094375774,nan,0.0,0.0,0.090550974,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.047675826
2884682044,2884681131,0.09347788,0.0934739,0.2087903,0.25952476,0.25952455,0.59108967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09489153,0.09488825,nan,0.0,0.0,0.090521686,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.048765846
2885185907,2885180272,0.09340473,0.093404636,0.20879108,0.25948408,0.25948384,0.59109634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.094276644,0.09427634,nan,0.0,0.0,0.09049346,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.047625065
2885680413,2885679413,0.09347166,0.093472,0.20879145,0.25953725,0.25953704,0.5911012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09487682,0.094877146,nan,0.0,0.0,0.09047308,0.002521182,0.0025216315,0.002509753,0.0,0.0,0.0,0.0,0.047148608
2886189730,2886186095,0.093490325,0.0934847,0.20878898,0.259537,0.25953683,0.5910962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09491814,0.09491508,nan,0.0,0.0,0.09046461,0.0028912984,0.0028592416,0.0028846818,0.0,0.0,0.0,0.0,0.04921373
2886691648,2886688233,0.09341864,0.09341879,0.2087891,0.25949016,0.25949,0.5910996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.09438693,0.09438683,nan,0.0,0.0,0.09046461,0.0026602277,0.0027102497,0.002651654,0.0,0.0,0.0,0.0,0.048664123
2887190591,2887187335,0.09350673,0.09350241,0.20875888,0.25947675,0.2594764,0.59093064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.957186,0.093372285,0.09336864,nan,0.0,0.0,0.09046461,0.0026014177,0.0027381054,0.002594425,0.0,0.0,0.0,0.0,0.046567958
