timestamp,flight_time_ms,propulsion_id,location,motor_number
2873962931,179455310,2,1,1
2874162904,179455310,2,1,1
2874362902,179455310,2,1,1
2874562910,179455310,2,1,1
2874762953,179455310,2,1,1
2874962901,179455310,2,1,1
2875162904,179455310,2,1,1
2875362926,179455310,2,1,1
2875562899,179455310,2,1,1
2875762904,179455310,2,1,1
2875962903,179455310,2,1,1
2876163004,179455310,2,1,1
2876362904,179455310,2,1,1
2876562911,179455310,2,1,1
2876762904,179455310,2,1,1
2876962968,179455310,2,1,1
2877162904,179455310,2,1,1
2877362901,179455310,2,1,1
2877562963,179455310,2,1,1
2877762985,179455310,2,1,1
2877962902,179455310,2,1,1
2878162908,179455310,2,1,1
2878362904,179455310,2,1,1
2878562903,179455310,2,1,1
2878762904,179455310,2,1,1
2878962930,179455310,2,1,1
2879162942,179455310,2,1,1
2879362901,179455310,2,1,1
2879562902,179455310,2,1,1
2879762925,179455310,2,1,1
2879962907,179455310,2,1,1
2880162910,179455310,2,1,1
2880362960,179455310,2,1,1
2880562902,179455310,2,1,1
2880762904,179455310,2,1,1
2880962900,179455310,2,1,1
2881162899,179455310,2,1,1
2881362905,179455310,2,1,1
2881562902,179455310,2,1,1
2881762978,179455310,2,1,1
2881962902,179455310,2,1,1
2882162904,179455310,2,1,1
2882362908,179455310,2,1,1
2882562929,179455310,2,1,1
2882762902,179455310,2,1,1
2882962902,179455310,2,1,1
2883162908,179455310,2,1,1
2883362956,179455310,2,1,1
2883562903,179455310,2,1,1
2883762903,179455310,2,1,1
2883962900,179455310,2,1,1
2884162905,179455310,2,1,1
2884362902,179455310,2,1,1
2884562901,179455310,2,1,1
2884762904,179455310,2,1,1
2884962992,179455310,2,1,1
2885162901,179455310,2,1,1
2885362904,179455310,2,1,1
2885562923,179455310,2,1,1
2885762909,179455310,2,1,1
2885962994,179455310,2,1,1
2886162902,179455310,2,1,1
2886362904,179455310,2,1,1
2886562901,179455310,2,1,1
2886762917,179455310,2,1,1
2886962902,179455310,2,1,1
2887162902,179455310,2,1,1
2887362933,179455310,2,1,1
2887562957,179455310,2,1,1
2887762911,179455310,2,1,1
2887962905,179455310,2,1,1
2888162901,179455310,2,1,1
2888362953,179455310,2,1,1
2888562902,179455310,2,1,1
2888762911,179455310,2,1,1
2888962902,179455310,2,1,1
2889163118,179455310,2,1,1
2889362904,179455310,2,1,1
2889562900,179455310,2,1,1
2889762902,179455310,2,1,1
2889962988,179455310,2,1,1
2890162900,179455310,2,1,1
2890362906,179455310,2,1,1
2890562904,179455310,2,1,1
2890762904,179455310,2,1,1
2890962903,179455310,2,1,1
2891162902,179455310,2,1,1
2891362925,179455310,2,1,1
2891562904,179455310,2,1,1
2891762901,179455310,2,1,1
2891963027,179455310,2,1,1
2892162905,179455310,2,1,1
2892362901,179455310,2,1,1
2892562900,179455310,2,1,1
2892762902,179455310,2,1,1
2892962902,179455310,2,1,1
2893162900,179455310,2,1,1
2893363014,179455310,2,1,1
2893562902,179455310,2,1,1
2893762906,179455310,2,1,1
2893962907,179455310,2,1,1
2894162902,179455310,2,1,1
2894362909,179455310,2,1,1
2894562901,179455310,2,1,1
2894763105,179455310,2,1,1
2894962919,179455310,2,1,1
2895162904,179455310,2,1,1
2895362907,179455310,2,1,1
2895562924,179455310,2,1,1
2895762911,179455310,2,1,1
2895962905,179455310,2,1,1
2896163024,179455310,2,1,1
2896362931,179455310,2,1,1
2896562929,179455310,2,1,1
2896762902,179455310,2,1,1
2896962903,179455310,2,1,1
2897162928,179455310,2,1,1
2897362905,179455310,2,1,1
2897563021,179455310,2,1,1
2897762902,179455310,2,1,1
2897962903,179455310,2,1,1
2898162958,179455310,2,1,1
2898362904,179455310,2,1,1
2898562905,179455310,2,1,1
2898762905,179455310,2,1,1
2898962995,179455310,2,1,1
2899162902,179455310,2,1,1
2899362900,179455310,2,1,1
2899562902,179455310,2,1,1
2899762949,179455310,2,1,1
2899962901,179455310,2,1,1
2900162903,179455310,2,1,1
2900363004,179455310,2,1,1
2900562904,179455310,2,1,1
2900762903,179455310,2,1,1
2900962913,179455310,2,1,1
2901162904,179455310,2,1,1
2901362900,179455310,2,1,1
2901562902,179455310,2,1,1
2901762941,179455310,2,1,1
2901962904,179455310,2,1,1
2902162905,179455310,2,1,1
2902362901,179455310,2,1,1
2902562902,179455310,2,1,1
2902762910,179455310,2,1,1
2902962966,179455310,2,1,1
2903162931,179455310,2,1,1
2903362902,179455310,2,1,1
2903562917,179455310,2,1,1
2903762945,179455310,2,1,1
2903962902,179455310,2,1,1
2904162903,179455310,2,1,1
2904362902,179455310,2,1,1
2904563081,179455310,2,1,1
2904762906,179455310,2,1,1
2904962901,179455310,2,1,1
2905162923,179455310,2,1,1
2905362968,179455310,2,1,1
2905562901,179455310,2,1,1
2905762906,179455310,2,1,1
2905962902,179455310,2,1,1
2906162905,179455310,2,1,1
2906362904,179455310,2,1,1
2906562904,179455310,2,1,1
2906762903,179455310,2,1,1
2906962972,179455310,2,1,1
2907162901,179455310,2,1,1
2907362902,179455310,2,1,1
2907562902,179455310,2,1,1
2907762905,179455310,2,1,1
2907962901,179455310,2,1,1
2908162909,179455310,2,1,1
2908362903,179455310,2,1,1
2908562905,179455310,2,1,1
2908762946,179455310,2,1,1
2908962905,179455310,2,1,1
2909162926,179455310,2,1,1
2909362903,179455310,2,1,1
2909562902,179455310,2,1,1
2909762904,179455310,2,1,1
2909962902,179455310,2,1,1
2910162908,179455310,2,1,1
2910362909,179455310,2,1,1
2910563024,179455310,2,1,1
2910767060,0,2,1,1
2910962913,179494909,2,1,1
