timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
2874001631,6946842,6946842,2490386,3670026,0,0.04783389,0.1435356,0.11279291,0.0,6684698,6684698,2490386,3670026,0,0.008234005,0.003288103,0.011286467,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2874006120,6946842,6946842,2490386,3670026,0,0.07902589,0.15511951,0.10885142,0.0,6684698,6684698,2490386,3670026,0,0.0067519564,0.0043032337,0.010568704,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2874201071,6946842,6946842,2490386,3670026,0,0.057619803,0.10759873,0.07600494,0.0,6684698,6684698,2490386,3670026,0,0.0062152455,0.0043682936,0.010554324,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2874405002,6946842,6946842,2490386,3670026,0,0.13761081,0.15234809,0.03010604,0.0,6684698,6684698,2490386,3670026,0,0.0076197195,0.00641947,0.012392626,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2874599852,6946842,6946842,2490386,3670026,0,0.027395466,0.10957267,0.10866486,0.0,6684698,6684698,2490386,3670026,0,0.007063826,0.004011267,0.010957706,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2874803651,6946842,6946842,2490386,3670026,0,0.11928234,0.19107583,0.12591319,0.0,6684698,6684698,2490386,3670026,0,0.009173213,0.0011455497,0.010086269,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2875003182,6946842,6946842,2490386,3670026,0,0.1407818,0.071875304,0.116506316,0.0,6684698,6684698,2490386,3670026,0,0.005650594,0.006311073,0.010943651,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2875196311,6946842,6946842,2490386,3670026,0,0.10846878,0.1857209,0.099286,0.0,6684698,6684698,2490386,3670026,0,0.01298888,0.0074019004,0.014646912,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2875401612,6946842,6946842,2490386,3670026,0,0.16579628,0.38046756,0.3532574,0.0,6684698,6684698,2490386,3670026,0,0.0023078267,0.0076023806,0.0061917487,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2875605451,6946842,6946842,2490386,3670026,0,0.28650227,0.44551578,0.29560077,0.0,6684698,6684698,2490386,3670026,0,0.004473626,0.0051727816,0.009013112,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2875804883,6946842,6946842,2490386,3670026,0,0.110266574,0.18657018,0.17015083,0.0,6684698,6684698,2490386,3670026,0,0.007844067,0.0018033915,0.009434922,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2876004209,6946842,6946842,2490386,3670026,0,0.23426631,0.14715841,0.3773763,0.0,6684698,6684698,2490386,3670026,0,0.0019989368,0.005184648,0.0067563895,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2876197505,6946842,6946842,2490386,3670026,0,0.07702797,0.15569685,0.18589282,0.0,6684698,6684698,2490386,3670026,0,0.008724878,0.0038607754,0.012403905,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2876403066,6946842,6946842,2490386,3670026,0,0.16795763,0.15593614,0.21972905,0.0,6684698,6684698,2490386,3670026,0,0.013239295,0.0056341304,0.01777283,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2876596251,6946842,6946842,2490386,3670026,0,0.13386475,0.23659372,0.2562234,0.0,6684698,6684698,2490386,3670026,0,0.0051262677,0.0064512757,0.010860923,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2876800147,6946842,6946842,2490386,3670026,0,0.22368959,0.14869615,0.11937183,0.0,6684698,6684698,2490386,3670026,0,0.013701291,0.0020806172,0.015581289,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2877001061,6946842,6946842,2490386,3670026,0,0.25939935,0.28789392,0.23957033,0.0,6684698,6684698,2490386,3670026,0,0.009296864,0.01224491,0.0077564525,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2877204824,6946842,6946842,2490386,3670026,0,0.31824303,0.63105804,0.31951442,0.0,6684698,6684698,2490386,3670026,0,0.004588287,0.0077173864,0.0119120255,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2877401209,6946842,6946842,2490386,3670026,0,0.3468561,0.23932317,0.131174,0.0,6684698,6684698,2490386,3670026,0,0.007286434,0.0031347442,0.008457353,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2877596180,6946842,6946842,2490386,3670026,0,0.20610648,0.109550886,0.15524645,0.0,6684698,6684698,2490386,3670026,0,0.004927945,0.0026846444,0.003459145,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2877799953,6946842,6946842,2490386,3670026,0,0.501046,0.31008452,0.21084815,0.0,6684698,6684698,2490386,3670026,0,0.006636903,0.004067496,0.009588325,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2878002351,6946842,6946842,2490386,3670026,0,0.4270299,0.2173751,0.22308552,0.0,6684698,6684698,2490386,3670026,0,0.003921482,0.009482348,0.006364694,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2878201703,6946842,6946842,2490386,3670026,0,0.2766674,0.19905622,0.19153717,0.0,6684698,6684698,2490386,3670026,0,0.0037076152,0.01577607,0.014089478,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2878405504,6946842,6946842,2490386,3670026,0,0.13058983,0.24125403,0.1685407,0.0,6684698,6684698,2490386,3670026,0,0.0057759774,0.005036873,0.010634823,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2878604906,6946842,6946842,2490386,3670026,0,0.12150766,0.12692572,0.11927314,0.0,6684698,6684698,2490386,3670026,0,0.012995192,0.00700402,0.0067570666,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2878804216,6946842,6946842,2490386,3670026,0,0.16079853,0.31202045,0.19858612,0.0,6684698,6684698,2490386,3670026,0,0.01633569,0.011883175,0.0050599976,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879003608,6946842,6946842,2490386,3670026,0,0.1625769,0.19919944,0.102004655,0.0,6684698,6684698,2490386,3670026,0,0.004712445,0.008099988,0.012477816,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879201461,6946842,6946842,2490386,3670026,0,0.14545496,0.13043451,0.11515665,0.0,6684698,6684698,2490386,3670026,0,0.0034436479,0.007243329,0.010127818,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879405171,6946842,6946842,2490386,3670026,0,0.30984315,0.26220778,0.14449495,0.0,6684698,6684698,2490386,3670026,0,0.015447072,0.004936113,0.02031482,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879601572,6946842,6946842,2490386,3670026,0,0.07098189,0.17084377,0.105680846,0.0,6684698,6684698,2490386,3670026,0,0.008407058,0.010470822,0.017998727,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879805658,6946842,6946842,2490386,3670026,0,0.10796797,0.27683464,0.17557612,0.0,6684698,6684698,2490386,3670026,0,0.0046255505,0.0061100414,0.009990448,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2879998874,6946842,6946842,2490386,3670026,0,0.14695169,0.24619548,0.15625104,0.0,6684698,6684698,2490386,3670026,0,0.0030440725,0.008927848,0.010844736,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2880204150,6946842,6946842,2490386,3670026,0,0.06545832,0.065082476,0.08835887,0.0,6684698,6684698,2490386,3670026,0,0.004646473,0.0066599697,0.010798725,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2880402340,6946842,6946842,2490386,3670026,0,0.049262688,0.049403995,0.009796023,0.0,6684698,6684698,2490386,3670026,0,0.008994191,0.0012279294,0.008943499,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2880599937,6946842,6946842,2490386,3670026,0,0.08963128,0.25785205,0.17162661,0.0,6684698,6684698,2490386,3670026,0,0.0060364823,0.0043046265,0.009876158,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2880796300,6946842,6946842,2490386,3670026,0,0.21185306,0.17678018,0.18307438,0.0,6684698,6684698,2490386,3670026,0,0.0083989855,0.0014624388,0.009641219,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2881000091,6946842,6946842,2490386,3670026,0,0.09237871,0.08855739,0.07161112,0.0,6684698,6684698,2490386,3670026,0,0.0072879004,0.0123516,0.019597527,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2881203987,6946842,6946842,2490386,3670026,0,0.22558519,0.055793718,0.20261751,0.0,6684698,6684698,2490386,3670026,0,0.010622311,0.0057269502,0.015672464,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2881398764,6946842,6946842,2490386,3670026,0,0.078567766,0.072597675,0.040649068,0.0,6684698,6684698,2490386,3670026,0,0.011830137,0.002424171,0.00988615,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2881604102,6946842,6946842,2490386,3670026,0,0.41818827,0.13943188,0.5112115,0.0,6684698,6684698,2490386,3670026,0,0.006964792,0.010240175,0.008662288,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2881796140,6946842,6946842,2490386,3670026,0,0.10609934,0.22741687,0.12792544,0.0,6684698,6684698,2490386,3670026,0,0.006509385,0.005024448,0.011489781,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2882002969,6946842,6946842,2490386,3670026,0,0.15845758,0.20911269,0.2686259,0.0,6684698,6684698,2490386,3670026,0,0.014848455,0.005919263,0.01628845,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2882198049,6946842,6946842,2490386,3670026,0,0.12913197,0.25227973,0.35838246,0.0,6684698,6684698,2490386,3670026,0,0.00582034,0.0021918775,0.007988066,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2882401581,6946842,6946842,2490386,3670026,0,0.2193897,0.109777644,0.16338554,0.0,6684698,6684698,2490386,3670026,0,0.018764932,0.0064963717,0.012284579,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2882602513,6946842,6946842,2490386,3670026,0,0.09038834,0.28836462,0.3675246,0.0,6684698,6684698,2490386,3670026,0,0.017895468,0.008932588,0.02678172,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2882798895,6946842,6946842,2490386,3670026,0,0.0766595,0.09041547,0.045044325,0.0,6684698,6684698,2490386,3670026,0,0.007027481,0.011110183,0.018131953,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2883001227,6946842,6946842,2490386,3670026,0,0.061212655,0.0715148,0.094124325,0.0,6684698,6684698,2490386,3670026,0,0.0021185766,0.005056466,0.0058300365,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2883200445,6946842,6946842,2490386,3670026,0,0.10730247,0.35203263,0.26138055,0.0,6684698,6684698,2490386,3670026,0,0.008987208,0.0041643833,0.013131838,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2883402940,6946842,6946842,2490386,3670026,0,0.2670348,0.10586235,0.32016522,0.0,6684698,6684698,2490386,3670026,0,0.0077138343,0.0033414804,0.008665345,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2883603720,6946842,6946842,2490386,3670026,0,0.26540437,0.19737858,0.123847194,0.0,6684698,6684698,2490386,3670026,0,0.0109450035,0.0040759,0.01452039,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2883803199,6946842,6946842,2490386,3670026,0,0.30596048,0.21575867,0.115300655,0.0,6684698,6684698,2490386,3670026,0,0.016120398,0.0014776776,0.016310528,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2884002472,6946842,6946842,2490386,3670026,0,0.28152078,0.55807143,0.32569322,0.0,6684698,6684698,2490386,3670026,0,0.027317362,0.008730163,0.01874764,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2884197550,6946842,6946842,2490386,3670026,0,0.12105873,0.07204603,0.14654967,0.0,6684698,6684698,2490386,3670026,0,0.008442159,0.0019773303,0.007554731,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2884401129,6946842,6946842,2490386,3670026,0,0.1370396,0.08486154,0.123568885,0.0,6684698,6684698,2490386,3670026,0,0.0057072034,0.006112962,0.011788783,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2884597501,6946842,6946842,2490386,3670026,0,0.13868423,0.14175744,0.118300356,0.0,6684698,6684698,2490386,3670026,0,0.0057738563,0.0072162165,0.012806819,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2884799990,6946842,6946842,2490386,3670026,0,0.26321557,0.24812227,0.03520616,0.0,6684698,6684698,2490386,3670026,0,0.009012256,0.0064899903,0.015224575,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885003773,6946842,6946842,2490386,3670026,0,0.0982049,0.09542742,0.06428938,0.0,6684698,6684698,2490386,3670026,0,0.009262981,0.002251615,0.01146355,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885201501,6946842,6946842,2490386,3670026,0,0.19546878,0.1334425,0.1866075,0.0,6684698,6684698,2490386,3670026,0,0.004278513,0.008296113,0.010745977,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885405391,6946842,6946842,2490386,3670026,0,0.2644161,0.12930124,0.17704496,0.0,6684698,6684698,2490386,3670026,0,0.0046960595,0.001016391,0.005027148,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885604776,6946842,6946842,2490386,3670026,0,0.13263683,0.13475914,0.19500102,0.0,6684698,6684698,2490386,3670026,0,0.009230406,0.0048735077,0.013996829,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885804162,6946842,6946842,2490386,3670026,0,0.4895801,0.3669333,0.13152164,0.0,6684698,6684698,2490386,3670026,0,0.0016667292,0.01068412,0.011993344,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2885997512,6946842,6946842,2490386,3670026,0,0.19131492,0.21189244,0.2112509,0.0,6684698,6684698,2490386,3670026,0,0.0042152335,0.016162302,0.01593108,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2886201343,6946842,6946842,2490386,3670026,0,0.35602355,0.15600045,0.20033698,0.0,6684698,6684698,2490386,3670026,0,0.0038038373,0.011982478,0.01577548,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2886403833,6946842,6946842,2490386,3670026,0,0.042015042,0.39574018,0.41299653,0.0,6684698,6684698,2490386,3670026,0,0.028364854,0.008316702,0.020569636,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2886597734,6946842,6946842,2490386,3670026,0,0.15438972,0.041912723,0.12144721,0.0,6684698,6684698,2490386,3670026,0,0.013880596,0.0036412242,0.017204562,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2886800154,6946842,6946842,2490386,3670026,0,0.09674487,0.08130279,0.071778975,0.0,6684698,6684698,2490386,3670026,0,0.00933413,0.009130274,0.017109042,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
2886998727,6946842,6946842,2490386,3670026,0,0.07935133,0.14695425,0.21553755,0.0,6684698,6684698,2490386,3670026,0,0.014769475,0.014645664,0.0050255763,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
