timestamp,control_power[0],control_power[1],control_power[2],control_power[3]
2873667181,0.00050934317,5.2505507e-05,3.255954e-06,0.007976608
2874167836,0.0015797997,0.00015494511,7.3567858e-06,0.047197133
2874668457,0.004787991,0.0008628806,4.3455464e-05,0.15117861
2875169149,0.0011225216,0.0006710707,0.00047399965,0.27883807
2875669780,0.0012745274,0.000684859,0.0007442002,0.26159447
2876170391,0.002459582,0.0008323617,0.00038915288,0.25883606
2876671140,0.0018697247,0.0013218353,7.929108e-05,0.26972523
2877171647,0.002302762,0.001293292,2.7574453e-05,0.23273101
2877672354,0.0028434643,0.0014304445,0.00020841049,0.18478328
2878172939,0.0036614381,0.0014592917,0.00045135242,0.23145929
2878673570,0.0019557867,0.0013873786,0.0004487685,0.2513097
2879174254,0.0016330071,0.000791262,0.00045398436,0.25004858
2879674856,0.002321655,0.0014663117,0.000113802525,0.2522054
2880175557,0.0013840937,0.0014852679,7.729474e-05,0.24850184
2880676130,0.0024183933,0.0017375185,0.000117668,0.241226
2881176762,0.0027392881,0.0013120724,2.278413e-05,0.2391279
2881677403,0.0017212341,0.0009316624,4.032439e-05,0.23960303
2882178047,0.0012590513,0.0006031804,8.0763195e-05,0.23924866
2882678769,0.0023916156,0.00063991366,0.00011073936,0.25165832
2883179328,0.001008821,0.00073792844,0.00019665086,0.2487447
2883679961,0.0013258994,0.00066903577,0.00010457059,0.24865606
2884180602,0.0021935767,0.0008741042,2.3688726e-05,0.248297
2884681248,0.001118685,0.00067895616,5.236022e-05,0.24195597
2885181951,0.0016840206,0.001108944,0.00015391082,0.24514566
2885682538,0.0026502253,0.0012227395,0.00053370045,0.2530357
2886183163,0.0018687957,0.0019294725,0.0033958587,0.24667044
2886683843,0.0020398123,0.0016691994,0.0015576541,0.25509733
2887184450,0.0033449456,0.00225292,0.00044565965,0.2640675
2887685129,0.0019356107,0.002587032,0.00015752044,0.26204062
2888185734,0.0036137244,0.0027976648,0.00020350413,0.2456274
2888686392,0.005206964,0.001463983,0.00010892467,0.24602653
2889187091,0.005925775,0.000400128,5.719265e-05,0.2398702
2889687648,0.005945961,0.00059095095,7.832189e-05,0.24140126
2890188326,0.003730452,0.00083460653,0.00015056398,0.24379905
2890688921,0.0034797275,0.00058958004,0.0011445304,0.24938762
2891189556,0.0029293594,0.00079898525,0.00021302151,0.2526115
2891690194,0.0021658873,0.0024797907,9.965867e-06,0.2525782
2892190841,0.0014624884,0.0046448563,0.0004737961,0.25563467
2892691575,0.0022481647,0.0046991706,0.00089146546,0.23978934
2893192209,0.0017835916,0.006034289,0.00040567486,0.23687449
2893692746,0.0021400366,0.0046911407,0.0003780825,0.24690211
2894193391,0.0021695008,0.0049718064,0.00050510693,0.24942067
2894694055,0.002301245,0.003037893,0.00039017972,0.23554103
2895194704,0.0020344912,0.0021978864,8.315035e-05,0.24072267
2895695299,0.002057646,0.0028083313,0.0002385898,0.2414223
2896195934,0.0018208725,0.0023652057,4.1138006e-05,0.2525648
2896696564,0.0010420525,0.0017124536,5.4629625e-05,0.251287
2897197204,0.001597392,0.0011714377,0.00030485925,0.24984269
2897697884,0.0019484387,0.0012359272,0.00028218408,0.2511718
2898198535,0.0015859503,0.0013791457,0.00012602864,0.25045857
2898699107,0.0009973462,0.0018323251,0.012422679,0.24401672
2899199777,0.0030902084,0.0005564325,0.0020370958,0.24022157
2899700381,0.0033271802,0.000772795,0.00023178944,0.25041872
2900201069,0.0025781293,0.0005856678,0.0011158903,0.24656728
2900701669,0.0019580997,0.00054309075,0.00045412692,0.21431914
2901202309,0.00305208,0.0010635136,0.00011922236,0.22499251
2901703024,0.0026748637,0.0014956818,0.0006852922,0.27937812
2902203563,0.0023357754,0.0014319563,0.001558782,0.25376984
2902704255,0.0016405884,0.0011822345,0.0074644354,0.23658949
2903204841,0.002219539,0.00046354416,0.002794057,0.22963378
2903705467,0.0021245945,0.0004056283,0.0020835975,0.22592674
2904206110,0.0014202574,0.00028179793,0.00041032117,0.26035154
2904706744,0.0009945813,0.0002738009,0.00036084792,0.21940483
2905207427,0.00086365576,0.00019680713,0.00043356422,0.22963011
2905708083,0.0014746079,0.0005044628,5.759045e-05,0.22992633
2906208652,0.0014237581,0.00033950908,5.5130167e-05,0.22187105
2906709295,0.006139153,0.0010567094,0.0043397504,0.19179967
2907209933,0.008452405,0.0019892168,0.013663107,0.15412231
2907710607,0.011748285,0.007433325,0.022032775,0.12209533
2908211199,0.014982856,0.010103199,0.023492571,0.0580019
2908711884,0.015876947,0.00758759,0.019978248,0.013365366
2909212486,0.01602193,0.008471783,0.01983244,9.999994e-07
2909713181,0.01585943,0.008463273,0.019848341,1.0000001e-06
2910213793,0.01590496,0.007993774,0.019853337,1.0000001e-06
2910714386,0.014492489,0.007588264,0.018119823,9.999999e-07
