timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2875948767,2875948463,0.9945782,0.014919447,0.012311271,0.102177195,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876004250,2876003876,0.9943946,0.01934569,0.01218111,0.103232525,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876047789,2876047346,0.9942489,0.02351482,0.011604086,0.10383381,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876103101,2876102805,0.99405974,0.02633445,0.010511141,0.10507752,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876152568,2876152269,0.9939021,0.028532606,0.009498968,0.106086284,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876197545,2876195791,0.9937498,0.03127487,0.008748417,0.106802605,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876250033,2876249699,0.9935454,0.034392487,0.007260427,0.10785157,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876301069,2876300709,0.99339056,0.035742678,0.006631115,0.108875446,0.9995159,5.646416e-10,1.2034794e-10,-0.031111915,6
2876355157,2876354623,0.99364316,0.035409,0.007572193,0.1065938,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876403156,2876402589,0.99353284,0.032482717,0.010312131,0.10831063,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876451238,2876450602,0.99335897,0.027555892,0.014844274,0.11071765,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876501899,2876501517,0.99314404,0.023425447,0.019290237,0.11289018,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876551292,2876550986,0.9929321,0.021529347,0.02300993,0.11442487,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876596286,2876595950,0.992726,0.020806342,0.026632413,0.11555495,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876656253,2876655909,0.9925425,0.019368937,0.029509403,0.116676666,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876701477,2876700874,0.99249536,0.017492216,0.029253585,0.1174362,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876750771,2876750385,0.9924893,0.0153388055,0.027069919,0.11830955,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876800183,2876799803,0.992493,0.014314854,0.023965798,0.11907402,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876855814,2876855310,0.9924692,0.014989276,0.02092855,0.11975924,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876900643,2876900277,0.9924174,0.014976182,0.019251892,0.12046964,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2876948558,2876948196,0.9923526,0.0145124085,0.017876774,0.1212686,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877001123,2877000658,0.9922424,0.014448648,0.016574081,0.122358344,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877055095,2877054620,0.99209625,0.015144413,0.016141208,0.12351161,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877100041,2877099587,0.9919311,0.015881741,0.0155460015,0.12481504,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877155424,2877155094,0.9917433,0.01683975,0.01433869,0.12631755,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877204863,2877204512,0.9915792,0.01694722,0.013125661,0.12771647,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877249926,2877249479,0.9914204,0.016456535,0.012092043,0.12910669,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877303764,2877303443,0.9912563,0.015965126,0.011836229,0.13044617,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877356374,2877355905,0.9910767,0.015493276,0.012431349,0.13180457,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877401257,2877400870,0.9909104,0.015685689,0.013554227,0.13291664,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877446217,2877445838,0.99076957,0.015330995,0.014709587,0.1338818,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877506133,2877505795,0.99059796,0.014773538,0.016278327,0.13502741,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877551106,2877550762,0.99051464,0.014349564,0.017044934,0.1355895,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877596281,2877595730,0.99042994,0.013448549,0.017268425,0.13627015,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877650118,2877649738,0.9903907,0.01172065,0.017167278,0.13672684,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877705440,2877705151,0.990355,0.009279096,0.016877053,0.13720803,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877755015,2877754663,0.99034834,0.007705289,0.016783701,0.1373656,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877799994,2877799630,0.99036735,0.0072375173,0.016924843,0.13723613,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877853855,2877853544,0.99042547,0.0065962477,0.016446637,0.13690661,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877898809,2877898512,0.990467,0.006841422,0.016533088,0.13658373,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2877954252,2877953973,0.990539,0.007816899,0.017170325,0.13592863,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878002386,2878001985,0.99060684,0.009415325,0.017807225,0.13524933,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878056452,2878051402,0.9906581,0.010786052,0.018517459,0.13467534,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878102653,2878102365,0.9906974,0.011202468,0.019003455,0.13428335,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878147682,2878147335,0.99074316,0.01120741,0.019095395,0.13393208,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878201738,2878201294,0.9907638,0.01007446,0.019168451,0.1338594,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878251170,2878250758,0.9907762,0.009181666,0.019635033,0.13376358,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878296131,2878295726,0.99080217,0.009068381,0.019449439,0.13360624,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878350110,2878349687,0.99085414,0.009200548,0.018606005,0.13333131,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878405538,2878405148,0.9908861,0.007434894,0.017475303,0.13335751,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878454987,2878454612,0.99089134,0.0052367826,0.016672844,0.13352545,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878500013,2878499585,0.99090046,0.0039498517,0.015671132,0.13362347,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
