timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
2873623992,1,1,1,0,0,0,0,0
2874129235,1,1,1,0,0,0,0,0
2874635024,1,1,1,0,0,0,0,0
2875141148,1,1,1,0,0,0,0,0
2875641942,1,1,1,0,0,0,0,0
2876142350,1,1,1,0,0,0,0,0
2876643460,1,1,1,0,0,0,0,0
2877146930,1,1,1,0,0,0,0,0
2877651166,1,1,1,0,0,0,0,0
2878159163,1,1,1,0,0,0,0,0
2878665278,1,1,1,0,0,0,0,0
2879167315,1,1,1,0,0,0,0,0
2879668675,1,1,1,0,0,0,0,0
2880171244,1,1,1,0,0,0,0,0
2880678962,1,1,1,0,0,0,0,0
2881191072,1,1,1,0,0,0,0,0
2881699588,1,1,1,0,0,0,0,0
2882204305,1,1,1,0,0,0,0,0
2882706043,1,1,1,0,0,0,0,0
2883209918,1,1,1,0,0,0,0,0
2883712458,1,1,1,0,0,0,0,0
2884216309,1,1,1,0,0,0,0,0
2884718976,1,1,1,0,0,0,0,0
2885222096,1,1,1,0,0,0,0,0
2885722254,1,1,1,0,0,0,0,0
2886228685,1,1,1,0,0,0,0,0
2886731194,1,1,1,0,0,0,0,0
2887234918,1,1,1,0,0,0,0,0
2887739987,1,1,1,0,0,0,0,0
2888244058,1,1,1,0,0,0,0,0
2888751526,1,1,1,0,0,0,0,0
2889259775,1,1,1,0,0,0,0,0
2889766081,1,1,1,0,0,0,0,0
2890274077,1,1,1,0,0,0,0,0
2890783816,1,1,1,0,0,0,0,0
2891288438,1,1,1,0,0,0,0,0
2891795789,1,1,1,0,0,0,0,0
2892305304,1,1,1,0,0,0,0,0
2892807396,1,1,1,0,0,0,0,0
2893311073,1,1,1,0,0,0,0,0
2893819733,1,1,1,0,0,0,0,0
2894328977,1,1,1,0,0,0,0,0
2894834210,1,1,1,0,0,0,0,0
2895335067,1,1,1,0,0,0,0,0
2895841265,1,1,1,0,0,0,0,0
2896347057,1,1,1,0,0,0,0,0
2896853200,1,1,1,0,0,0,0,0
2897363115,1,1,1,0,0,0,0,0
2897869016,1,1,1,0,0,0,0,0
2898102415,1,1,1,0,0,0,0,0
2898607022,1,1,1,0,0,0,0,0
2899112434,1,1,1,0,0,0,0,0
2899618080,1,1,1,0,0,0,0,0
2900120713,1,1,1,0,0,0,0,0
2900626096,1,1,1,0,0,0,0,0
2901128122,1,1,1,0,0,0,0,0
2901634922,1,1,1,0,0,0,0,0
2902144967,1,1,1,0,0,0,0,0
2902647597,1,1,1,0,0,0,0,0
2903152052,1,1,1,0,0,0,0,0
2903653933,1,1,1,0,0,0,0,0
2904156108,1,1,1,0,0,0,0,0
2904664044,1,1,1,0,0,0,0,0
2905170220,1,1,1,0,0,0,0,0
2905672015,1,1,1,0,0,0,0,0
2906173224,1,1,1,0,0,0,0,0
2906676794,1,1,1,0,0,0,0,0
2907178079,1,1,1,0,0,0,0,0
2907686305,1,1,1,0,0,0,0,0
2908189372,1,1,1,0,0,0,0,0
2908698680,1,1,1,0,0,0,0,0
2909202322,1,1,1,0,0,0,0,0
2909713340,1,1,1,0,0,0,0,0
2910224009,1,1,1,0,0,0,0,0
2910670445,0,1,1,0,0,0,0,0
2910685056,0,0,1,0,0,0,0,0
