timestamp,flags,gimbal_device_id,primary_control_sysid,primary_control_compid,secondary_control_sysid,secondary_control_compid
2873954535,0,0,255,190,0,0
2874004636,0,0,255,190,0,0
2874054470,0,0,255,190,0,0
2874104713,0,0,255,190,0,0
2874154506,0,0,255,190,0,0
2874204449,0,0,255,190,0,0
2874254880,0,0,255,190,0,0
2874304450,0,0,255,190,0,0
2874354446,0,0,255,190,0,0
2874404448,0,0,255,190,0,0
2874454718,0,0,255,190,0,0
2874506113,0,0,255,190,0,0
2874554454,0,0,255,190,0,0
2874604727,0,0,255,190,0,0
2874654451,0,0,255,190,0,0
2874704806,0,0,255,190,0,0
2874754444,0,0,255,190,0,0
2874805257,0,0,255,190,0,0
2874854504,0,0,255,190,0,0
2874904485,0,0,255,190,0,0
2874954445,0,0,255,190,0,0
2875004586,0,0,255,190,0,0
2875054444,0,0,255,190,0,0
2875104443,0,0,255,190,0,0
2875154815,0,0,255,190,0,0
2875204444,0,0,255,190,0,0
2875254676,0,0,255,190,0,0
2875304443,0,0,255,190,0,0
2875354450,0,0,255,190,0,0
2875404700,0,0,255,190,0,0
2875455234,0,0,255,190,0,0
2875505303,0,0,255,190,0,0
2875554930,0,0,255,190,0,0
2875604529,0,0,255,190,0,0
2875654443,0,0,255,190,0,0
2875704545,0,0,255,190,0,0
2875754777,0,0,255,190,0,0
2875804446,0,0,255,190,0,0
2875854952,0,0,255,190,0,0
2875905490,0,0,255,190,0,0
2875954680,0,0,255,190,0,0
2876004443,0,0,255,190,0,0
2876054444,0,0,255,190,0,0
2876105026,0,0,255,190,0,0
2876154468,0,0,255,190,0,0
2876205282,0,0,255,190,0,0
2876254923,0,0,255,190,0,0
2876304512,0,0,255,190,0,0
2876354444,0,0,255,190,0,0
2876404539,0,0,255,190,0,0
2876454445,0,0,255,190,0,0
2876504452,0,0,255,190,0,0
2876554870,0,0,255,190,0,0
2876604444,0,0,255,190,0,0
2876654797,0,0,255,190,0,0
2876704445,0,0,255,190,0,0
2876754505,0,0,255,190,0,0
2876804709,0,0,255,190,0,0
