timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
2874002209,-0.0012281202,-0.0072205374,0.27205163,0.0,0.9907564,-0.0001188082,-0.003660181,0.1356036,0.0,0.0,-0.23924616,0,0,0,0,0
2874015683,0.0019029018,-0.009751164,0.272299,0.0,0.99073315,0.0016043909,-0.004701304,0.13573217,0.0,0.0,-0.24313712,0,0,0,0,0
2874051609,-0.001348879,-0.013173461,0.2721576,0.0,0.99073446,0.0002253539,-0.006617283,0.13565184,0.0,0.0,-0.2555931,0,0,0,0,0
2874093004,-0.002679536,-0.0151478,0.27198392,0.0,0.99073946,-0.00030055287,-0.007685525,0.13555913,0.0,0.0,-0.26953286,0,0,0,0,0
2874151960,0.00239973,-0.004497669,0.2719794,0.0,0.9907641,0.0014936604,-0.0020654027,0.13557318,0.0,0.0,-0.28926235,0,0,0,0,0
2874201599,-0.0056211576,-0.017591855,0.27203032,0.0,0.99072534,-0.0015918354,-0.009095632,0.1355659,0.0,0.0,-0.30665907,0,0,0,0,0
2874254018,-0.01711827,-0.006394003,0.27160215,0.0,0.99075556,-0.0080473805,-0.0043261964,0.1353513,0.0,0.0,-0.32614237,0,0,0,0,0
2874301928,-0.009480657,-0.01388863,0.27185884,0.0,0.99074525,-0.0037554575,-0.007522477,0.13547382,0.0,0.0,-0.34317622,0,0,0,0,0
2874349996,-0.0016079557,-0.009501543,0.27145183,0.0,0.9907924,-0.00015375263,-0.0048158458,0.13530423,0.0,0.0,-0.36054593,0,0,0,0,0
2874401358,-0.015698157,-0.009101637,0.2703245,0.0,0.99084353,-0.007164123,-0.0055668075,0.13471015,0.0,0.0,-0.37956482,0,0,0,0,0
2874450322,-0.005333781,-0.00621823,0.2697616,0.0,0.9909102,-0.0022245648,-0.00343948,0.13446285,0.0,0.0,-0.40029663,0,0,0,0,0
2874504987,-0.005129663,-0.016378716,0.26850504,0.0,0.990968,-0.001445538,-0.008458841,0.13382386,0.0,0.0,-0.4205986,0,0,0,0,0
2874550737,-0.010535545,0.0015399645,0.26687482,0.0,0.99109584,-0.0053233565,6.2296436e-05,0.13304393,0.0,0.0,-0.438245,0,0,0,0,0
2874600269,-0.01128462,-0.004680835,0.26505452,0.0,0.9912144,-0.005283531,-0.0030654222,0.13212411,0.0,0.0,-0.46026957,0,0,0,0,0
2874649581,-0.0073488723,-0.00048430142,0.26364216,0.0,0.99131763,-0.0036107213,-0.00072301365,0.13143785,0.0,0.0,-0.47837436,0,0,0,0,0
2874699081,-0.005690239,-0.00021493898,0.2616806,0.0,0.99144864,-0.0028067762,-0.00047774508,0.13046648,0.0,0.0,-0.49133226,0,0,0,0,0
2874753078,-0.004970091,0.0045253546,0.25817737,0.0,0.9916733,-0.0027556345,0.0019239424,0.12873532,0.0,0.0,-0.5072855,0,0,0,0,0
2874799701,0.000850425,0.0068004,0.25396588,0.0,0.9919428,-8.820655e-06,0.0034266654,0.1266398,0.0,0.0,-0.5190335,0,0,0,0,0
2874849348,0.006604473,0.015018818,0.2493865,0.0,0.99220556,0.0023425648,0.007861682,0.12434158,0.0,0.0,-0.5325728,0,0,0,0,0
2874902975,0.01124263,0.012108052,0.24417807,0.0,0.99252665,0.0048420615,0.0066934116,0.12174802,0.0,0.0,-0.53763485,0,0,0,0,0
2874943634,0.015776256,0.017032415,0.2403597,0.0,0.99272823,0.0068098963,0.009400085,0.119816,0.0,0.0,-0.5415624,0,0,0,0,0
2875003602,0.029417045,0.0072877486,0.23455232,0.0,0.9930233,0.014180553,0.005339379,0.11694085,0.0,0.0,-0.540797,0,0,0,0,0
2875052819,0.032448035,0.011714881,0.23001797,0.0,0.9932569,0.015443772,0.007679629,0.11464414,0.0,0.0,-0.54313904,0,0,0,0,0
2875093881,0.041514758,0.02065472,0.2263236,0.0,0.99336123,0.019456139,0.012602554,0.112677105,0.0,0.0,-0.54618156,0,0,0,0,0
2875153432,0.035084262,0.02143992,0.2214636,0.0,0.99368626,0.016248386,0.012590756,0.110295415,0.0,0.0,-0.5312809,0,0,0,0,0
2875192947,0.047381416,0.021632757,0.21833825,0.0,0.9937378,0.022367978,0.013329528,0.10866077,0.0,0.0,-0.52219945,0,0,0,0,0
2875256923,0.040976275,0.013996927,0.21408053,0.0,0.99405897,0.019621426,0.009145555,0.106668375,0.0,0.0,-0.5150195,0,0,0,0,0
2875297364,0.04319673,0.0196917,0.21195367,0.0,0.9941321,0.02043326,0.012072526,0.10553733,0.0,0.0,-0.5115205,0,0,0,0,0
2875346772,0.04808218,0.024336131,0.2091534,0.0,0.99420637,0.0226359,0.014606925,0.1040574,0.0,0.0,-0.5134022,0,0,0,0,0
2875401026,0.051782243,0.02364338,0.20660065,0.0,0.994298,0.024529846,0.014423779,0.10277053,0.0,0.0,-0.513701,0,0,0,0,0
2875454723,0.044010356,0.030041259,0.20430726,0.0,0.9944675,0.02035491,0.017181713,0.10161109,0.0,0.0,-0.5125109,0,0,0,0,0
2875501100,0.03973,0.019720254,0.20281342,0.0,0.99463797,0.018762734,0.011818143,0.10101324,0.0,0.0,-0.5067395,0,0,0,0,0
2875544536,0.046174027,0.022960221,0.20180263,0.0,0.9946098,0.021809973,0.013743625,0.100433044,0.0,0.0,-0.5058807,0,0,0,0,0
2875597592,0.04619317,0.027713522,0.2006738,0.0,0.99464166,0.021588573,0.016096074,0.09981389,0.0,0.0,-0.5053672,0,0,0,0,0
2875651106,0.048879825,0.033159077,0.20007394,0.0,0.9946071,0.022656731,0.018931206,0.099423535,0.0,0.0,-0.50465107,0,0,0,0,0
2875700452,0.05705951,0.026759887,0.19989376,0.0,0.9945536,0.027046513,0.01615343,0.09935127,0.0,0.0,-0.5046842,0,0,0,0,0
2875754351,0.059117008,0.029538332,0.20015368,0.0,0.994497,0.027928228,0.017640749,0.09942105,0.0,0.0,-0.5042339,0,0,0,0,0
2875800800,0.06678237,0.020704007,0.20093808,0.0,0.994384,0.03217714,0.013642213,0.09989498,0.0,0.0,-0.5039911,0,0,0,0,0
2875850274,0.066294976,0.028319445,0.20201991,0.0,0.99430394,0.03154218,0.017420927,0.10030592,0.0,0.0,-0.5056189,0,0,0,0,0
2875904440,0.060958114,0.032401092,0.20332031,0.0,0.99429464,0.028669745,0.019201001,0.10093356,0.0,0.0,-0.50635093,0,0,0,0,0
2875949296,0.05574504,0.03383778,0.2050954,0.0,0.99426615,0.025987335,0.019675147,0.101844646,0.0,0.0,-0.50836927,0,0,0,0,0
2876003210,0.060505588,0.034303825,0.20677091,0.0,0.9941126,0.028313039,0.020172881,0.10262295,0.0,0.0,-0.5124918,0,0,0,0,0
2876048295,0.06506613,0.03140165,0.20856203,0.0,0.993972,0.030713238,0.01899205,0.1035163,0.0,0.0,-0.5151818,0,0,0,0,0
2876101962,0.06513728,0.027898552,0.21056673,0.0,0.9938865,0.030914336,0.017285896,0.10457133,0.0,0.0,-0.5173979,0,0,0,0,0
2876148730,0.06640459,0.030544503,0.21265696,0.0,0.99374235,0.03138501,0.018699685,0.105553284,0.0,0.0,-0.5177483,0,0,0,0,0
2876197913,0.065422215,0.035388734,0.21446992,0.0,0.9936303,0.030619612,0.021082282,0.10638021,0.0,0.0,-0.5183966,0,0,0,0,0
2876250502,0.06308072,0.03867114,0.21650298,0.0,0.99353224,0.029256836,0.022618057,0.10736013,0.0,0.0,-0.51721364,0,0,0,0,0
2876297135,0.05335259,0.048677385,0.21821381,0.0,0.99347645,0.023857625,0.027086565,0.10817432,0.0,0.0,-0.5195572,0,0,0,0,0
2876355573,0.05321333,0.048900492,0.21400432,0.0,0.99370116,0.023833409,0.02713974,0.106081694,0.0,0.0,-0.51878184,0,0,0,0,0
2876403578,0.050198853,0.060391717,0.21762352,0.0,0.99340194,0.02165934,0.03272746,0.10776025,0.0,0.0,-0.5202708,0,0,0,0,0
2876451676,0.050039407,0.049995087,0.22267896,0.0,0.99325615,0.022078117,0.027611174,0.11041869,0.0,0.0,-0.5200608,0,0,0,0,0
2876502766,0.050451234,0.04848233,0.22720888,0.0,0.99301535,0.022306148,0.026933322,0.11268345,0.0,0.0,-0.5193639,0,0,0,0,0
2876551645,0.052558143,0.049963918,0.23044717,0.0,0.9927917,0.023222813,0.027825141,0.114241235,0.0,0.0,-0.5222029,0,0,0,0,0
2876592745,0.04165189,0.047860533,0.23279461,0.0,0.99279165,0.017899342,0.026178665,0.1155813,0.0,0.0,-0.52414507,0,0,0,0,0
2876652415,0.04988211,0.039282132,0.23500828,0.0,0.9926614,0.02245999,0.022421379,0.11668846,0.0,0.0,-0.521378,0,0,0,0,0
2876701848,0.047004044,0.028654808,0.23667827,0.0,0.9926697,0.021642094,0.016996965,0.11768407,0.0,0.0,-0.5159252,0,0,0,0,0
2876749712,0.04667501,0.033863716,0.23797102,0.0,0.9925638,0.021157824,0.019576393,0.11826332,0.0,0.0,-0.51197386,0,0,0,0,0
2876796240,0.04557024,0.03156355,0.23935376,0.0,0.9925088,0.020733727,0.018383948,0.11898859,0.0,0.0,-0.5077372,0,0,0,0,0
2876856216,0.03476213,0.033976734,0.24083532,0.0,0.99250084,0.015211489,0.018949512,0.11979828,0.0,0.0,-0.5063728,0,0,0,0,0
2876899428,0.045032553,0.027418071,0.24207406,0.0,0.9923763,0.020692777,0.016323034,0.12039338,0.0,0.0,-0.506209,0,0,0,0,0
2876944699,0.043563258,0.03063952,0.2436756,0.0,0.9922756,0.019754518,0.017848736,0.12116231,0.0,0.0,-0.4896909,0,0,0,0,0
2876996898,0.043657895,0.022703933,0.24578446,0.0,0.9921882,0.020270003,0.013938902,0.122300126,0.0,0.0,-0.46903706,0,0,0,0,0
2877055503,0.039557822,0.03668637,0.24819843,0.0,0.9919935,0.017352257,0.020645218,0.12337593,0.0,0.0,-0.44227082,0,0,0,0,0
2877096366,0.048896234,0.039029002,0.25070396,0.0,0.99172795,0.021810364,0.022410087,0.12448952,0.0,0.0,-0.43159118,0,0,0,0,0
2877155930,0.045152508,0.027936207,0.25382218,0.0,0.99164796,0.020623157,0.016708754,0.12621331,0.0,0.0,-0.4091813,0,0,0,0,0
2877205269,0.059786078,0.039754197,0.25659296,0.0,0.9912184,0.02709522,0.023526963,0.12727322,0.0,0.0,-0.38484943,0,0,0,0,0
2877246083,0.040880237,0.03039925,0.25903592,0.0,0.9913427,0.018302526,0.017708069,0.1288062,0.0,0.0,-0.39119455,0,0,0,0,0
2877304345,0.03938609,0.035646424,0.2620253,0.0,0.9911263,0.017192096,0.020238195,0.13024417,0.0,0.0,-0.3981043,0,0,0,0,0
2877352315,0.04230242,0.03154242,0.26453114,0.0,0.99096465,0.018882938,0.018418187,0.13150372,0.0,0.0,-0.41158822,0,0,0,0,0
2877401718,0.03649063,0.04880678,0.26453114,0.0,0.9908643,0.014862095,0.026589165,0.13137777,0.0,0.0,-0.43951622,0,0,0,0,0
2877442369,0.031766687,0.034844182,0.26453114,0.0,0.9910267,0.013444338,0.019361159,0.13156931,0.0,0.0,-0.44857675,0,0,0,0,0
2877502212,0.03956034,0.035021156,0.26453114,0.0,0.9909654,0.017294386,0.019961394,0.13149092,0.0,0.0,-0.46944228,0,0,0,0,0
2877551504,0.030040527,0.03908969,0.26453114,0.0,0.9910033,0.012308543,0.021351134,0.13154921,0.0,0.0,-0.46870407,0,0,0,0,0
2877592699,0.019587249,0.044441137,0.26453114,0.0,0.9910021,0.0067754583,0.023314865,0.13162568,0.0,0.0,-0.45256954,0,0,0,0,0
2877650554,0.034421403,0.036852956,0.26453114,0.0,0.99099237,0.014627049,0.02053105,0.13152398,0.0,0.0,-0.4426727,0,0,0,0,0
2877704402,0.033160172,0.037593957,0.2645311,0.0,0.99099547,0.01395315,0.02081524,0.13152993,0.0,0.0,-0.42048234,0,0,0,0,0
2877751124,0.032888297,0.033135172,0.26453114,0.0,0.9910315,0.014113004,0.01858817,0.13157427,0.0,0.0,-0.4159882,0,0,0,0,0
2877800355,0.0249352,0.04437101,0.2645311,0.0,0.99098116,0.009429979,0.023632,0.1315634,0.0,0.0,-0.43382078,0,0,0,0,0
