timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,failsafe_but_user_took_over,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
2873623981,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,0,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2874129227,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2874635019,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2875141140,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2875641935,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2876142342,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2876643454,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2877146921,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2877651160,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2878159155,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2878665269,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2879167307,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2879668637,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2880171236,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2880678954,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2881191064,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2881699580,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2882204297,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2882706037,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2883209910,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2883712450,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2884216300,2739087538,305938683,1378467884,1377943564,1378844719,2870972641,2873702387,2,2,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
