timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
2873706875,inf,0,0,0,0,1,0,1,0,0,1
2874709792,inf,0,0,0,0,1,0,0,0,0,1
2875711089,inf,0,0,0,0,1,0,0,1,0,0
2876592794,inf,0,0,0,0,0,0,0,1,0,0
2877592919,inf,0,0,0,0,0,0,0,1,0,0
2878600934,inf,0,0,0,0,0,0,0,0,0,0
2879601263,inf,0,0,0,0,0,0,0,0,0,0
2880609453,inf,0,0,0,0,0,0,0,0,0,0
2881610864,inf,0,0,0,0,0,0,0,0,0,0
2882615011,inf,0,0,0,0,0,0,0,0,0,0
2883628201,inf,0,0,0,0,0,0,0,0,0,0
2884636983,inf,0,0,0,0,0,0,0,0,0,0
2885644465,inf,0,0,0,0,0,0,0,0,0,0
2886650160,inf,0,0,0,0,0,0,0,0,0,0
2887655845,inf,0,0,0,0,0,0,0,0,0,0
2888664713,inf,0,0,0,0,0,0,0,0,0,0
2889665859,inf,0,0,0,0,0,0,0,0,0,0
2890665965,inf,0,0,0,0,0,0,0,0,0,0
2891673226,inf,0,0,0,0,0,0,0,0,0,0
2892677318,inf,0,0,0,0,0,0,0,0,0,0
2893684675,inf,0,0,0,0,0,0,0,0,0,0
2894686624,inf,0,0,0,0,0,0,0,0,0,0
2895695168,inf,0,0,0,0,0,0,0,0,0,0
2896703244,inf,0,0,0,0,0,0,0,0,0,0
2897709192,inf,0,0,0,0,0,0,0,0,0,0
2898710508,inf,0,0,0,0,0,0,0,1,0,0
2899716158,inf,0,0,0,0,0,0,0,0,0,0
2900677014,inf,0,0,0,0,1,1,0,1,0,0
2901679733,inf,0,0,0,0,1,1,0,1,0,0
2902689730,inf,0,0,0,0,1,1,0,1,0,0
2903695631,inf,0,0,0,0,1,1,0,1,0,1
2904696719,inf,0,0,0,0,1,1,0,1,0,1
2905704572,inf,0,0,0,0,1,1,0,1,0,1
2906707344,inf,0,0,0,0,1,1,0,0,0,1
2907708145,inf,0,0,0,0,1,1,1,0,0,1
2907955624,inf,0,1,0,0,1,1,1,0,0,1
2908324388,inf,0,1,1,0,1,1,1,0,0,1
2908661628,inf,0,1,1,1,1,1,1,0,0,1
2909664485,inf,0,1,1,1,1,1,1,0,0,1
2910665651,inf,0,1,1,1,1,1,1,0,0,1
